Index,Enghelab-CO
0,0.98
1,0.95
2,0.9
3,1.01
4,1.28
5,1.72
6,2.15
7,1.36
8,1.08
9,1.42
10,1.73
11,2.05
12,3.96
13,6.48
14,9.0
15,10.12
16,10.42
17,9.57
18,6.81
19,4.91
20,3.13
21,1.9
22,1.14
23,1.49
24,1.59
25,1.24
26,1.17
27,1.04
28,1.06
29,1.13
30,1.39
31,1.75
32,1.78
33,1.63
34,1.74
35,1.65
36,1.69
37,2.12
38,2.26
39,2.06
40,2.38
41,2.75
42,2.19
43,1.93
44,1.31
45,1.17
46,1.16
47,1.08
48,1.06
49,1.06
50,1.14
51,0.99
52,1.13
53,1.22
54,1.42
55,2.2
56,2.07
57,2.11
58,1.88
59,2.15
60,2.33
61,2.34
62,1.98
63,2.99
64,3.27
65,2.99
66,3.48
67,3.74
68,2.6
69,2.0
70,1.8
71,1.48
72,1.12
73,1.25
74,1.45
75,1.18
76,1.44
77,2.3
78,2.59
79,1.85
80,2.2
81,2.29
82,2.26
83,2.22
84,3.48
85,5.8
86,8.02
87,10.23
88,11.03
89,9.74
90,8.01
91,7.13
92,6.43
93,5.02
94,3.91
95,3.37
96,3.11
97,1.97
98,1.16
99,0.81
100,0.77
101,1.27
102,1.81
103,1.54
104,1.42
105,1.49
106,2.13
107,1.94
108,2.06
109,3.86
110,6.12
111,7.9
112,8.57
113,6.78
114,5.77
115,4.46
116,4.14
117,3.61
118,4.01
119,3.44
120,2.28
121,0.89
122,0.82
123,0.83
124,1.12
125,1.98
126,3.09
127,2.67
128,3.02
129,2.93
130,2.67
131,2.16
132,2.09
133,2.48
134,3.71
135,4.11
136,4.29
137,4.29
138,4.39
139,2.85
140,3.13
141,2.93
142,2.35
143,2.34
144,2.2
145,2.05
146,1.75
147,1.72
148,1.82
149,2.69
150,3.01
151,2.89
152,2.45
153,2.38
154,2.57
155,2.67
156,3.05
157,4.72
158,6.21
159,7.18
160,8.6
161,8.78
162,6.94
163,4.19
164,1.77
165,1.43
166,1.36
167,1.59
168,1.18
169,1.06
170,1.02
171,1.33
172,1.17
173,0.92
174,0.97
175,0.91
176,0.98
177,1.09
178,1.39
179,1.65
180,1.68
181,1.49
182,2.06
183,2.47
184,2.27
185,3.42
186,3.86
187,6.56
188,5.97
189,2.98
190,2.81
191,1.77
192,1.64
193,1.39
194,1.41
195,1.58
196,1.51
197,1.19
198,2.33
199,1.84
200,2.0
201,1.63
202,2.01
203,1.9
204,1.9
205,2.35
206,2.22
207,3.17
208,4.78
209,5.49
210,5.1
211,3.41
212,1.45
213,1.21
214,0.98
215,1.08
216,0.85
217,0.89
218,0.74
219,0.71
220,0.76
221,0.93
222,1.58
223,2.1
224,1.76
225,1.34
226,1.85
227,1.94
228,1.77
229,1.64
230,1.27
231,2.05
232,2.23
233,1.77
234,2.11
235,1.63
236,1.21
237,1.09
238,0.81
239,1.08
240,1.07
241,1.09
242,1.05
243,1.02
244,0.98
245,1.09
246,1.17
247,1.31
248,1.58
249,1.71
250,1.92
251,2.09
252,2.35
253,2.29
254,1.89
255,2.19
256,2.75
257,4.2
258,4.42
259,4.74
260,1.73
261,1.46
262,1.3
263,1.19
264,1.24
265,0.91
266,0.98
267,0.94
268,0.91
269,0.99
270,1.13
271,1.55
272,1.77
273,2.18
274,2.1
275,2.03
276,2.01
277,1.67
278,1.49
279,2.39
280,3.2
281,4.42
282,3.82
283,3.18
284,1.88
285,1.67
286,1.78
287,1.25
288,1.28
289,1.12
290,0.97
291,1.2
292,1.25
293,1.6
294,2.99
295,3.41
296,2.94
297,3.29
298,2.75
299,2.63
300,2.31
301,2.49
302,2.68
303,2.9
304,4.37
305,4.79
306,5.27
307,4.85
308,3.22
309,2.73
310,3.26
311,3.15
312,2.61
313,1.67
314,1.66
315,1.33
316,1.2
317,1.66
