Index,Farshadi-CO
0,0.39
1,0.43
2,0.41
3,0.46
4,0.51
5,0.57
6,0.79
7,0.33
8,0.25
9,0.23
10,0.25
11,0.28
12,0.24
13,0.27
14,0.28
15,0.35
16,0.63
17,0.89
18,0.78
19,0.53
20,0.4
21,0.33
22,0.32
23,0.33
24,0.41
25,0.31
26,0.23
27,0.18
28,0.18
29,0.2
30,0.29
31,0.27
32,0.33
33,0.33
34,0.3
35,
36,
37,
38,0.3
39,0.33
40,0.41
41,0.39
42,0.34
43,0.32
44,0.25
45,0.23
46,0.23
47,0.21
48,0.2
49,0.18
50,0.19
51,0.18
52,0.18
53,0.21
54,0.27
55,0.31
56,0.38
57,0.48
58,0.57
59,0.48
60,0.41
61,0.53
62,0.73
63,0.98
64,0.85
65,0.66
66,1.05
67,1.58
68,1.06
69,0.7
70,0.69
71,0.59
72,0.48
73,0.58
74,0.65
75,0.62
76,0.57
77,1.09
78,1.12
79,1.02
80,0.91
81,0.64
82,0.79
83,0.84
84,0.7
85,0.56
86,0.69
87,0.55
88,0.73
89,1.08
90,1.09
91,1.08
92,1.84
93,2.26
94,2.14
95,1.6
96,1.22
97,0.94
98,0.76
99,0.59
100,0.67
101,0.66
102,0.62
103,0.73
104,0.83
105,0.97
106,1.07
107,0.96
108,0.68
109,0.47
110,0.33
111,0.4
112,0.64
113,0.63
114,0.73
115,1.01
116,1.07
117,1.75
118,1.93
119,2.14
120,1.13
121,0.43
122,0.32
123,0.34
124,0.6
125,0.65
126,1.07
127,1.41
128,1.52
129,1.6
130,1.31
131,1.01
132,0.81
133,0.71
134,1.01
135,0.94
136,1.07
137,1.04
138,1.49
139,1.12
140,1.27
141,1.91
142,1.32
143,1.28
144,1.27
145,1.21
146,1.27
147,1.12
148,1.17
149,1.77
150,1.57
151,1.25
152,1.2
153,1.52
154,1.65
155,1.61
156,1.38
157,0.92
158,0.74
159,0.69
160,0.93
161,1.41
162,1.57
163,0.9
164,0.63
165,0.44
166,0.44
167,0.4
168,0.34
169,0.34
170,0.3
171,0.29
172,0.28
173,0.26
174,0.51
175,0.42
176,0.37
177,0.41
178,0.38
179,0.53
180,0.4
181,0.38
182,0.3
183,0.3
184,0.47
185,0.55
186,0.72
187,1.71
188,1.75
189,0.92
190,0.65
191,0.58
192,0.58
193,0.62
194,0.61
195,0.69
196,0.87
197,0.5
198,0.62
199,0.58
200,0.75
201,0.4
202,0.35
203,0.3
204,0.25
205,0.29
206,0.25
207,0.29
208,0.43
209,0.48
210,0.56
211,0.59
