Index,Farshadi-NO
0,3.47
1,2.9
2,2.5
3,4.94
4,9.6
5,13.95
6,17.34
7,3.83
8,2.64
9,3.12
10,2.9
11,3.48
12,2.66
13,2.69
14,2.58
15,2.98
16,5.76
17,13.49
18,13.97
19,3.45
20,1.86
21,1.7
22,1.74
23,1.95
24,1.97
25,1.84
26,1.63
27,1.3
28,1.21
29,1.3
30,1.92
31,1.94
32,3.29
33,2.78
34,3.35
35,3.49
36,3.78
37,2.78
38,2.81
39,2.47
40,2.74
41,2.67
42,2.62
43,2.75
44,1.85
45,1.67
46,2.12
47,1.56
48,1.57
49,1.31
50,1.97
51,1.39
52,1.79
53,2.0
54,2.72
55,4.97
56,6.37
57,11.0
58,13.6
59,8.83
60,6.41
61,11.59
62,18.66
63,28.22
64,27.2
65,18.71
66,43.44
67,71.34
68,29.46
69,9.0
70,6.49
71,6.75
72,4.69
73,5.0
74,7.56
75,6.04
76,4.71
77,13.85
78,49.62
79,40.63
80,32.35
81,14.58
82,15.13
83,13.49
84,10.32
85,6.68
86,7.9
87,5.76
88,10.27
89,30.81
90,30.2
91,29.36
92,78.5
93,99.12
94,100.02
95,81.64
96,53.81
97,35.55
98,31.53
99,24.05
100,23.57
101,31.15
102,32.47
103,35.9
104,33.33
105,35.41
106,26.21
107,18.17
108,10.29
109,6.51
110,4.73
111,4.44
112,7.37
113,7.25
114,9.49
115,22.42
116,25.81
117,65.87
118,73.84
119,84.2
120,56.49
121,8.66
122,4.75
123,5.84
124,10.45
125,25.6
126,67.8
127,83.96
128,76.83
129,60.18
130,32.66
131,25.0
132,16.77
133,12.0
134,26.45
135,20.62
136,36.8
137,38.91
138,67.29
139,44.37
140,54.09
141,86.58
142,45.45
143,44.76
144,42.2
145,47.57
146,66.32
147,56.94
148,56.54
149,68.72
150,80.81
151,52.79
152,36.71
153,52.13
154,40.56
155,29.36
156,22.97
157,13.66
158,9.51
159,6.98
160,11.35
161,36.93
162,54.2
163,23.98
164,9.75
165,3.82
166,3.47
167,2.9
168,2.37
169,2.18
170,2.1
171,2.18
172,1.88
173,2.22
174,6.29
175,6.71
176,6.74
177,9.25
178,6.15
179,6.01
180,4.57
181,4.26
182,2.46
183,2.37
184,3.01
185,3.17
186,6.14
187,63.44
188,69.07
189,33.34
