Index,Farshadi-NO2
0,7.4
1,7.12
2,7.95
3,14.37
4,14.62
5,13.47
6,10.7
7,5.2
8,1.6
9,2.15
10,1.85
11,2.54
12,1.9
13,2.47
14,2.73
15,7.39
16,13.18
17,13.1
18,14.82
19,11.7
20,10.22
21,7.93
22,8.5
23,8.68
24,10.48
25,7.71
26,4.81
27,2.43
28,2.63
29,3.61
30,6.77
31,5.56
32,5.95
33,5.59
34,5.17
35,4.7
36,4.71
37,5.78
38,6.55
39,6.74
40,9.27
41,7.49
42,6.94
43,6.35
44,3.76
45,3.17
46,4.33
47,2.61
48,2.47
49,1.98
50,2.69
51,1.69
52,2.37
53,3.44
54,5.12
55,6.31
56,6.39
57,5.73
58,5.35
59,6.44
60,5.76
61,7.1
62,8.99
63,6.71
64,6.16
65,6.72
66,
67,
68,4.78
69,10.53
70,10.2
71,10.69
72,10.12
73,10.2
74,9.54
75,9.88
76,8.76
77,6.33
78,
79,0.06
80,4.69
81,5.72
82,9.56
83,13.39
84,10.57
85,6.96
86,13.66
87,14.53
88,17.07
89,10.75
90,7.85
91,7.19
92,
93,
94,
95,
96,
97,2.47
98,3.71
99,4.62
100,4.84
101,2.7
102,1.29
103,3.11
104,6.43
105,10.26
106,17.31
107,17.7
108,12.09
109,6.88
110,5.53
111,9.01
112,14.66
113,13.23
114,14.9
115,12.27
116,9.24
117,
118,
119,
120,
121,10.48
122,5.65
123,8.08
124,7.59
125,3.24
126,
127,
128,3.07
129,11.61
130,17.06
131,14.48
132,12.92
133,13.32
134,8.42
135,10.13
136,7.7
137,4.18
138,
139,3.48
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,6.98
153,11.18
154,19.26
155,23.54
156,20.71
157,16.86
158,13.59
159,14.65
160,17.16
161,7.93
162,
163,7.47
164,10.36
165,7.13
166,7.0
167,5.82
168,4.97
169,5.29
170,4.73
171,4.75
172,4.93
173,5.11
174,5.72
175,4.47
176,4.06
177,4.31
178,3.56
179,6.81
180,4.95
181,3.63
182,3.52
183,4.62
184,10.21
185,12.63
186,13.37
187,
188,
189,8.71
190,13.9
191,10.69
192,9.47
193,8.46
194,7.85
195,4.71
196,5.23
197,9.14
198,11.43
199,8.7
200,8.03
201,6.06
202,3.73
203,2.67
204,1.57
205,2.31
206,2.98
207,5.43
208,9.26
209,9.41
210,11.51
211,13.71
212,13.35
213,6.81
214,7.81
215,4.58
216,3.31
217,4.18
218,4.07
219,3.73
220,3.54
221,4.89
222,6.65
223,6.73
224,5.02
225,5.63
226,5.31
227,4.14
228,4.56
229,5.89
230,5.51
231,7.51
232,8.2
233,9.75
234,10.51
235,9.17
236,7.92
237,6.11
238,3.58
239,4.4
240,1.84
241,6.63
242,6.5
243,4.71
244,4.48
245,5.79
246,6.07
247,6.89
248,6.03
249,4.94
250,4.68
251,7.1
252,7.27
253,10.04
254,9.32
255,10.46
256,11.9
257,13.7
258,12.79
259,10.19
260,10.73
261,8.19
262,8.49
263,7.05
264,6.06
265,4.56
266,6.91
267,11.83
268,9.1
269,8.15
270,10.91
271,8.25
272,7.95
273,7.31
274,3.94
275,3.32
276,6.59
277,5.24
278,5.96
279,9.05
280,11.71
281,13.26
282,12.25
283,12.08
284,12.51
285,12.86
286,6.78
287,13.93
288,13.14
289,13.39
290,12.44
291,11.63
292,8.64
293,10.87
294,5.88
295,
296,
297,
298,2.89
299,8.0
300,11.47
301,12.91
302,13.89
303,16.97
304,17.8
305,16.92
306,13.93
307,5.21
308,7.34
309,8.29
310,
311,
312,
313,5.78
314,0.8
315,
316,6.3
317,7.85
318,5.95
319,4.1
320,4.97
321,7.19
322,12.67
323,16.04
324,18.54
325,19.67
326,19.73
327,20.5
328,19.74
329,14.08
330,11.4
331,16.08
332,12.41
333,8.51
334,5.73
335,7.34
336,6.8
337,4.37
338,5.68
339,11.07
340,11.12
341,9.46
342,8.89
343,9.14
344,8.23
345,9.28
346,10.47
347,12.53
348,14.23
349,16.54
350,16.44
351,16.55
352,16.66
353,16.7
354,14.74
355,8.37
356,10.83
357,12.47
358,
359,
360,1.39
361,2.47
362,
363,4.29
364,4.62
365,7.44
366,8.09
367,4.54
368,4.33
369,8.34
370,11.11
371,11.74
372,13.72
373,15.9
374,18.49
375,22.07
376,23.2
377,16.3
378,12.99
379,14.09
380,2.72
381,5.46
382,4.33
383,7.7
384,9.85
385,10.53
386,10.75
387,11.0
388,9.71
389,8.63
390,3.36
391,2.59
392,6.09
393,10.3
394,13.04
395,16.77
396,17.67
397,16.81
398,17.76
399,15.75
400,16.93
401,17.08
402,13.96
403,16.13
404,15.36
405,8.38
406,
407,
408,
409,4.58
410,4.25
411,6.63
412,7.23
413,3.72
414,0.8
415,4.7
416,
417,1.54
418,15.98
419,17.54
420,19.62
421,19.62
422,20.52
423,23.48
424,23.34
425,19.67
426,10.19
427,
428,
429,
430,15.05
431,4.29
432,
433,
434,
435,5.5
436,6.32
437,7.06
438,2.0
439,4.23
440,5.09
441,15.3
442,22.74
443,25.8
444,28.3
445,27.57
446,20.46
447,20.04
448,22.44
449,17.85
450,13.45
451,14.42
452,8.21
453,1.89
454,3.08
455,9.85
456,6.75
457,0.09
458,3.72
459,5.16
460,3.69
461,5.02
462,
463,
464,1.27
465,6.61
466,16.17
467,14.66
468,10.44
469,10.99
470,12.95
471,15.94
472,17.09
473,3.06
474,
475,
476,
477,
478,
479,
480,5.22
481,14.16
482,12.55
483,10.55
484,13.02
485,13.66
486,6.1
487,4.35
488,6.9
489,8.9
