Index,Farshadi-PM2.5
0,6.0
1,3.0
2,4.0
3,10.0
4,8.0
5,20.0
6,27.0
7,10.0
8,10.0
9,11.0
10,15.0
11,17.0
12,11.0
13,15.0
14,25.0
15,26.0
16,34.0
17,37.0
18,27.0
19,19.0
20,21.0
21,14.0
22,17.0
23,27.0
24,32.0
25,20.0
26,19.0
27,9.0
28,11.0
29,11.0
30,16.0
31,13.0
32,9.0
33,7.0
34,10.0
35,12.0
36,12.0
37,13.0
38,14.0
39,12.0
40,11.0
41,12.0
42,13.0
43,12.0
44,11.0
45,13.0
46,9.0
47,15.0
48,11.0
49,8.0
50,12.0
51,6.0
52,4.0
53,8.0
54,11.0
55,13.0
56,15.0
57,20.0
58,14.0
59,13.0
60,16.0
61,20.0
62,
63,
64,
65,21.0
66,22.0
67,20.0
68,7.0
69,11.0
70,10.0
71,13.0
72,6.0
73,3.0
74,9.0
75,13.0
76,11.0
77,14.0
78,35.0
79,34.0
80,28.0
81,21.0
82,27.0
83,38.0
84,28.0
85,23.0
86,39.0
87,42.0
88,38.0
89,28.0
90,24.0
91,23.0
92,24.0
93,26.0
94,71.0
95,54.0
96,84.0
97,71.0
98,30.0
99,29.0
100,24.0
101,27.0
102,29.0
103,29.0
104,39.0
105,46.0
106,57.0
107,89.0
108,59.0
109,36.0
110,24.0
111,22.0
112,22.0
113,26.0
114,26.0
115,23.0
116,20.0
117,33.0
118,32.0
119,42.0
120,93.0
121,32.0
122,25.0
123,27.0
124,34.0
125,20.0
126,29.0
127,61.0
128,135.0
129,119.0
130,61.0
131,42.0
132,35.0
133,31.0
134,32.0
135,22.0
136,26.0
137,27.0
138,30.0
139,32.0
140,24.0
141,43.0
142,39.0
143,36.0
144,43.0
145,38.0
146,77.0
147,106.0
148,103.0
149,73.0
150,75.0
151,72.0
152,65.0
153,101.0
154,118.0
155,141.0
156,100.0
157,76.0
158,52.0
159,48.0
160,46.0
161,45.0
162,29.0
163,18.0
164,33.0
165,26.0
166,30.0
167,29.0
168,26.0
169,28.0
170,22.0
171,20.0
172,17.0
173,17.0
174,19.0
175,21.0
176,30.0
