Index,Farshadi-SO2
0,7.69
1,7.44
2,7.39
3,7.22
4,7.08
5,7.22
6,7.23
7,6.77
8,6.87
9,7.67
10,8.41
11,10.24
12,9.54
13,10.1
14,10.36
15,10.19
16,10.01
17,9.89
18,9.69
19,9.59
20,9.4
21,9.16
22,8.71
23,8.49
24,8.16
25,7.76
26,7.72
27,7.69
28,7.94
29,7.39
30,7.1
31,6.99
32,6.79
33,6.69
34,6.68
35,6.81
36,6.55
37,6.44
38,6.51
39,6.43
40,6.57
41,6.58
42,6.41
43,6.33
44,6.27
45,6.54
46,6.54
47,6.27
48,6.38
49,6.41
50,6.49
51,6.61
52,6.51
53,6.49
54,6.41
55,6.37
56,6.33
57,6.46
58,6.31
59,6.22
60,6.31
61,6.49
62,6.58
63,6.77
64,6.81
65,6.54
66,6.55
67,6.88
68,6.76
69,6.61
70,6.72
71,6.88
72,6.73
73,6.52
74,6.47
75,6.44
76,6.54
77,6.66
78,7.04
79,7.03
80,7.0
81,7.72
82,8.43
83,9.37
84,13.51
85,17.46
86,11.15
87,10.63
88,10.05
89,9.49
90,8.51
91,8.11
92,8.13
93,7.97
94,7.8
95,7.43
96,7.25
97,7.16
98,6.86
99,6.7
100,6.65
101,6.76
102,6.85
103,7.09
104,7.51
105,8.06
106,8.7
107,9.48
108,9.46
109,9.47
110,9.45
111,9.39
112,9.15
113,8.58
114,8.57
115,8.28
116,8.02
117,8.34
118,8.09
119,8.25
120,8.74
121,8.05
122,7.59
123,7.52
124,7.06
125,6.96
126,7.29
127,8.62
128,9.99
129,9.6
130,9.15
131,9.09
132,9.11
133,9.74
134,9.08
135,8.31
136,9.02
137,8.66
138,8.28
139,7.98
140,7.76
141,7.82
142,7.83
143,7.67
144,7.49
145,7.35
146,7.62
147,7.73
148,7.61
149,7.49
150,7.69
151,7.56
152,7.67
153,8.56
154,9.08
155,9.88
156,11.03
157,11.53
158,11.51
159,10.89
160,10.05
161,9.63
162,9.35
163,9.04
164,8.67
165,8.27
166,7.92
167,7.24
168,6.86
169,7.04
170,7.37
171,7.46
172,7.61
173,7.2
174,7.0
175,7.08
176,7.11
177,7.08
178,7.16
179,7.83
180,8.05
181,8.22
182,8.28
183,8.48
184,8.17
185,7.72
186,7.28
187,7.47
188,7.45
189,7.31
190,6.91
191,6.86
192,6.85
193,6.9
194,7.28
195,7.28
196,7.75
197,6.92
198,6.95
199,7.14
200,7.0
201,7.43
202,7.13
203,7.09
204,7.43
205,7.79
206,7.87
207,7.89
208,7.63
209,7.44
210,7.17
211,7.22
212,6.98
213,6.55
214,6.55
215,6.72
216,6.69
217,6.71
218,6.66
219,6.64
220,6.98
221,6.83
222,6.93
223,6.88
224,6.92
225,7.31
226,7.04
227,6.97
228,6.96
229,6.93
230,6.67
231,6.48
232,6.57
233,6.65
234,6.52
235,6.36
236,6.31
237,6.31
238,6.34
239,6.39
240,6.43
241,6.6
242,7.6
243,7.64
244,7.16
245,7.02
246,6.51
247,6.53
248,6.66
249,6.99
250,8.16
251,8.27
252,8.52
253,8.2
254,8.05
255,7.49
256,7.29
257,6.9
258,6.48
259,6.5
260,6.37
261,6.24
262,6.31
263,6.5
264,6.46
265,6.17
266,6.2
267,6.52
268,7.03
269,7.63
270,7.8
271,7.59
272,7.4
273,7.01
274,6.92
275,8.33
276,7.29
277,6.91
278,6.83
279,6.71
280,6.9
281,6.93
282,7.09
283,7.04
284,6.96
285,6.98
286,7.57
287,6.93
288,6.89
289,6.83
290,7.02
291,7.15
292,7.12
293,7.0
294,7.27
295,8.07
296,7.88
297,8.15
298,8.74
299,8.37
300,8.69
301,8.89
302,9.18
303,9.3
304,9.25
305,8.36
306,8.5
307,7.84
308,7.6
309,7.46
310,8.07
311,8.42
312,8.72
313,8.12
314,7.74
315,7.58
316,7.32
317,7.37
318,7.65
319,8.18
320,8.61
321,8.6
322,9.17
323,9.62
324,10.13
325,10.11
326,9.56
327,9.33
328,9.13
329,9.35
330,9.02
331,8.99
332,7.88
333,7.41
334,7.21
335,7.29
336,7.03
337,7.09
338,7.18
339,7.04
340,7.1
341,7.18
342,7.25
343,7.83
344,9.75
345,13.99
346,12.9
347,18.3
348,17.08
349,14.95
350,12.06
351,10.39
352,8.99
353,8.58
354,7.76
355,7.59
356,7.73
357,7.28
358,7.7
359,7.74
360,7.33
361,7.42
362,7.62
363,7.9
364,7.43
365,7.21
366,7.2
367,7.31
368,7.51
369,10.14
370,12.97
371,12.36
372,12.81
373,12.12
374,10.84
375,10.23
376,10.07
377,9.33
378,8.31
379,7.46
380,7.77
381,7.52
382,8.09
383,7.49
384,7.25
385,7.33
386,7.36
387,7.4
388,7.38
389,8.25
390,8.94
391,10.55
392,9.61
393,9.94
394,15.81
395,15.23
396,13.46
397,13.1
398,10.76
399,10.65
400,9.81
401,8.64
402,8.2
403,8.05
404,8.09
405,7.88
406,8.04
407,8.25
408,8.29
409,7.85
410,7.46
411,7.5
412,7.38
413,7.42
414,7.49
415,7.93
416,9.32
417,9.96
418,11.26
419,11.68
420,11.71
421,11.34
422,12.4
423,13.49
424,11.46
425,10.51
426,9.28
427,8.59
428,9.09
429,9.23
430,8.13
431,7.92
432,8.03
433,8.35
434,9.02
435,9.05
436,8.19
437,7.81
438,7.97
439,8.84
440,10.28
441,12.25
442,13.68
443,13.09
444,13.35
445,13.84
446,13.67
447,12.56
448,12.05
449,11.02
450,9.97
451,9.92
452,8.74
453,10.11
454,9.35
455,8.78
456,8.39
457,8.8
458,8.55
459,8.0
460,8.28
461,8.61
462,10.13
463,10.96
464,9.56
465,10.51
466,10.94
467,11.26
468,10.12
469,10.42
470,10.72
471,10.38
472,9.8
473,9.44
474,9.63
475,10.35
476,10.19
477,10.14
478,9.91
479,9.47
480,8.6
481,8.74
482,8.07
483,7.99
484,7.89
485,8.08
486,8.42
487,8.3
488,8.17
489,8.93
490,9.15
491,9.47
492,9.16
493,9.05
494,8.19
495,7.69
496,7.62
497,7.6
498,7.35
499,7.81
500,7.55
501,7.52
502,8.09
503,8.0
504,7.35
505,7.14
506,7.43
507,7.41
508,7.53
509,7.26
510,6.98
511,7.24
512,7.67
513,8.06
514,7.85
515,8.32
516,8.19
517,8.13
518,8.03
519,8.26
520,8.7
521,8.23
522,7.68
523,7.99
524,7.9
525,8.04
526,7.71
527,7.49
528,7.33
529,7.16
530,7.62
531,7.32
532,6.91
533,6.99
534,7.53
535,8.24
536,7.73
537,9.1
538,9.47
539,9.1
540,8.9
541,8.67
542,8.99
543,8.48
544,8.09
545,7.72
546,7.35
547,7.68
548,7.57
549,7.34
550,7.4
551,7.27
