Index,Feiz-CO
0,0.47
1,0.38
2,0.34
3,0.32
4,0.34
5,0.57
6,0.7
7,0.4
8,0.26
9,0.23
10,0.29
11,0.3
12,0.28
13,0.2
14,0.21
15,0.25
16,0.33
17,0.42
18,0.49
19,0.38
20,0.36
21,0.29
22,0.26
23,0.31
24,0.33
25,0.35
26,0.28
27,0.21
28,0.19
29,0.2
30,0.29
31,0.27
32,0.27
33,0.29
34,0.28
35,0.29
36,0.27
37,0.29
38,0.28
39,0.33
40,0.39
41,0.39
42,0.37
43,0.34
44,0.25
45,0.21
46,0.19
47,0.17
48,0.15
49,0.15
50,0.14
51,0.14
52,0.15
53,0.16
54,0.26
55,0.24
56,0.29
57,0.31
58,0.3
59,0.3
60,0.35
61,0.35
62,0.36
63,0.55
64,0.5
65,0.53
66,0.46
67,0.63
68,1.01
69,0.49
70,0.43
71,0.47
72,0.43
73,0.52
74,0.56
75,0.55
76,0.51
77,0.64
78,1.1
79,0.76
80,
81,0.77
82,0.93
83,0.75
84,0.6
85,0.56
86,0.57
87,0.56
88,0.62
89,0.75
90,0.94
91,1.42
92,1.24
93,1.15
94,1.43
95,1.76
96,1.57
97,1.35
98,1.04
99,0.8
100,0.66
101,0.72
102,0.67
103,0.55
104,0.74
105,0.88
106,0.88
107,0.76
108,0.66
109,0.56
110,0.46
111,0.49
112,0.53
113,0.74
114,1.02
115,0.87
116,1.01
117,0.99
118,1.08
119,0.99
120,1.03
121,0.54
122,0.46
123,0.45
124,0.43
125,0.51
126,1.35
127,1.18
128,0.97
129,0.91
130,0.93
131,0.83
132,0.69
133,0.71
134,0.81
135,0.93
136,0.79
137,1.05
138,
139,
140,
141,0.96
142,1.1
143,1.04
144,1.09
145,1.06
146,0.91
147,0.8
148,0.83
149,0.89
150,1.32
151,0.95
152,0.89
153,0.93
154,0.96
155,0.9
156,0.85
157,0.79
158,0.69
159,0.67
160,0.62
161,0.97
162,0.77
163,0.62
164,0.57
165,0.45
166,0.4
167,0.37
168,0.34
169,0.36
170,0.29
171,0.55
172,0.42
173,0.31
174,0.27
175,0.26
176,0.27
177,0.3
178,0.3
179,0.31
180,0.29
181,0.27
182,0.3
183,0.35
184,0.41
185,0.62
186,0.96
187,1.2
188,1.19
189,0.84
190,0.7
191,0.47
192,0.44
193,
194,
195,
196,0.29
197,0.4
198,0.62
199,0.53
200,0.41
201,0.58
202,0.36
203,0.4
204,0.31
205,0.29
206,0.27
207,0.37
208,0.57
209,0.86
210,1.17
211,1.29
212,0.58
213,0.41
214,0.4
215,0.35
216,0.27
217,0.22
218,0.19
219,0.18
220,0.17
221,0.22
222,0.34
223,0.27
224,0.33
225,0.31
226,0.33
227,0.31
228,0.29
229,0.29
230,0.25
231,0.28
232,0.38
233,0.44
234,0.4
235,0.56
236,0.35
237,0.3
238,0.27
239,0.22
240,0.2
241,0.24
242,0.2
243,0.2
244,0.19
245,0.19
246,0.27
247,0.33
248,0.38
249,0.33
250,0.64
251,0.37
252,0.37
253,0.42
254,0.42
255,0.37
256,0.45
257,0.57
258,0.82
259,0.49
260,
261,0.29
262,0.25
263,0.23
264,0.18
265,0.16
266,0.17
267,0.2
268,0.24
269,0.23
270,0.3
271,0.36
272,0.37
273,0.36
