Index,Feiz-NO
0,14.38
1,12.12
2,10.01
3,8.34
4,11.07
5,40.88
6,44.58
7,22.44
8,10.25
9,8.18
10,9.89
11,8.9
12,7.01
13,3.62
14,3.6
15,4.46
16,6.88
17,11.13
18,12.89
19,7.51
20,7.64
21,5.64
22,4.69
23,7.26
24,7.78
25,8.46
26,8.12
27,5.95
28,4.66
29,4.59
30,11.54
31,9.12
32,9.52
33,8.59
34,8.32
35,8.56
36,6.49
37,7.96
38,7.41
39,9.05
40,12.41
41,10.61
42,11.7
43,10.73
44,6.61
45,3.73
46,3.16
47,2.48
48,1.77
49,1.78
50,1.48
51,1.61
52,1.88
53,3.79
54,8.59
55,9.5
56,11.78
57,13.01
58,10.54
59,9.15
60,7.27
61,8.83
62,8.09
63,18.26
64,16.94
65,19.23
66,15.53
67,23.82
68,40.18
69,11.01
70,9.12
71,8.2
72,7.76
73,12.21
74,14.88
75,15.68
76,26.18
77,56.38
78,110.74
79,55.1
80,
81,27.68
82,37.55
83,24.36
84,15.51
85,12.1
86,
87,12.63
88,18.78
89,38.96
90,61.63
91,132.34
92,112.89
93,92.96
94,110.74
95,149.25
96,124.94
97,102.4
98,61.53
99,63.96
100,53.84
101,29.61
102,50.85
103,33.52
104,33.66
105,45.39
106,37.01
107,23.54
108,16.39
109,11.94
110,9.36
111,10.68
112,16.21
113,34.89
114,61.81
115,45.17
116,50.73
117,53.17
118,70.08
119,56.75
120,53.89
121,23.26
122,15.5
123,19.01
124,28.96
125,50.04
126,148.54
127,80.07
128,63.05
129,44.31
130,34.5
131,22.53
132,16.98
133,14.37
134,19.08
135,29.75
136,26.26
137,
138,
139,
140,
141,39.09
142,41.24
143,44.93
144,41.96
145,45.75
146,38.7
147,30.02
148,36.6
149,61.41
150,82.73
151,41.13
152,27.42
153,27.45
154,20.34
155,12.1
156,7.72
157,3.98
158,2.72
159,3.17
160,5.31
161,19.1
162,16.68
163,19.55
164,15.7
165,7.12
166,6.41
167,6.01
168,4.6
169,4.87
170,3.73
171,10.91
172,12.77
173,4.73
174,6.36
175,7.86
176,7.61
177,7.63
178,6.69
179,5.24
180,4.25
181,3.6
182,3.44
183,4.26
184,6.43
185,21.22
186,57.92
187,93.03
188,104.92
189,69.82
190,51.08
191,24.95
192,22.01
193,15.42
194,12.86
195,16.26
196,20.83
197,29.73
198,64.84
199,23.94
200,20.78
201,19.05
202,13.95
203,13.77
204,7.84
205,5.85
206,5.32
207,9.95
208,29.59
209,60.1
210,107.44
211,130.8
212,36.29
213,19.28
214,18.46
215,15.71
216,10.15
217,8.15
218,6.01
219,5.16
220,4.8
221,6.92
222,15.46
223,10.37
224,14.33
225,10.54
226,14.47
227,12.32
228,9.51
229,8.44
230,6.69
231,7.5
232,9.77
233,13.87
234,8.71
235,22.87
236,8.97
237,6.73
238,5.8
239,3.78
240,3.26
241,3.22
242,2.96
243,2.69
244,3.0
245,2.7
246,6.72
247,11.98
248,17.19
249,12.91
250,24.35
251,14.92
252,11.27
253,11.81
254,11.3
255,10.98
256,17.24
257,31.43
258,64.1
259,
260,
261,10.33
262,8.13
263,6.14
264,4.19
265,3.28
266,2.85
267,2.8
268,3.67
269,3.13
270,6.81
271,16.7
272,15.26
273,18.79
274,11.0
275,9.56
276,11.24
277,9.29
278,8.24
279,10.74
280,30.53
281,31.02
282,58.59
283,128.44
284,116.83
285,85.06
286,47.04
287,
288,19.37
289,11.31
290,8.89
291,11.01
292,13.87
293,83.97
294,202.4
295,134.78
296,58.13
297,69.91
298,95.01
299,53.34
300,42.31
301,31.12
302,25.15
303,36.76
304,73.21
305,106.73
306,123.54
307,204.92
308,150.38
309,83.32
310,81.78
311,72.86
312,76.16
313,90.67
314,66.89
315,99.3
316,78.84
317,79.26
318,131.5
319,71.32
320,72.82
321,56.03
322,54.54
323,43.8
324,35.91
325,25.92
326,20.1
327,30.87
328,70.56
329,76.28
330,42.92
331,42.25
332,23.33
333,13.83
334,10.8
335,9.89
336,6.88
337,5.0
338,5.57
339,6.31
340,7.83
341,17.38
342,63.41
343,35.04
344,15.06
345,15.85
346,17.74
347,18.58
348,17.97
349,14.71
350,11.44
351,18.57
352,62.03
353,95.42
354,95.97
355,55.87
356,86.53
357,84.77
358,92.7
359,96.45
360,69.71
361,47.94
362,60.75
363,75.38
364,53.57
365,52.22
366,16.89
367,20.74
368,15.18
369,20.21
370,21.74
371,25.72
372,19.92
373,17.35
374,14.75
375,33.53
376,81.59
377,124.14
378,56.7
379,145.13
380,161.27
