Index,Feiz-NO2
0,18.74
1,14.2
2,10.13
3,14.35
4,18.96
5,19.37
6,23.26
7,15.47
8,9.5
9,8.32
10,9.14
11,11.65
12,11.92
13,7.22
14,8.77
15,9.71
16,15.26
17,17.77
18,26.2
19,20.72
20,15.03
21,13.95
22,13.6
23,13.63
24,15.13
25,15.77
26,11.65
27,6.29
28,6.49
29,10.78
30,17.81
31,15.23
32,16.41
33,16.17
34,16.55
35,18.99
36,17.2
37,19.46
38,18.84
39,21.97
40,26.3
41,24.43
42,22.29
43,19.06
44,12.2
45,8.94
46,9.13
47,6.55
48,5.27
49,5.15
50,4.57
51,4.55
52,5.68
53,9.96
54,16.62
55,14.65
56,17.75
57,19.88
58,16.75
59,18.16
60,18.31
61,22.3
62,24.88
63,37.51
64,32.98
65,32.72
66,30.12
67,37.59
68,50.09
69,26.07
70,22.79
71,24.19
72,20.62
73,23.84
74,23.79
75,22.43
76,18.06
77,18.45
78,24.34
79,28.03
80,
81,29.58
82,41.46
83,40.35
84,30.31
85,25.4
86,
87,34.53
88,35.93
89,39.72
90,43.33
91,38.53
92,34.45
93,33.75
94,31.37
95,28.11
96,23.72
97,22.3
98,20.52
99,18.52
100,18.04
101,21.01
102,21.36
103,23.02
104,26.66
105,40.49
106,42.72
107,40.15
108,35.33
109,30.29
110,25.79
111,28.45
112,34.29
113,48.49
114,55.35
115,49.58
116,50.39
117,48.12
118,45.07
119,43.1
120,46.73
121,30.88
122,21.81
123,23.82
124,23.45
125,24.67
126,34.79
127,41.19
128,46.09
129,52.62
130,53.49
131,48.53
132,38.68
133,44.47
134,52.46
135,56.93
136,52.9
137,
138,
139,
140,
141,51.99
142,52.4
143,49.32
144,44.85
145,41.73
146,43.16
147,38.49
148,33.25
149,36.98
150,51.61
151,47.28
152,53.46
153,62.77
154,61.73
155,65.56
156,62.72
157,54.44
158,46.77
159,44.87
160,43.0
161,64.7
162,52.69
163,32.49
164,29.36
165,21.83
166,18.93
167,16.24
168,14.91
169,13.77
170,13.21
171,17.14
172,17.61
173,13.54
174,14.33
175,13.03
176,12.77
177,13.0
178,12.68
179,15.25
180,14.47
181,12.64
182,15.14
183,18.21
184,23.5
185,32.79
186,37.63
187,35.84
188,31.48
189,28.04
190,24.23
191,19.22
192,19.14
193,15.66
194,13.8
195,15.67
196,14.01
197,19.45
198,22.54
199,22.29
200,20.96
201,21.28
202,18.15
203,16.74
204,17.07
205,14.74
206,16.06
207,23.53
208,35.27
209,39.85
210,40.66
211,39.11
212,26.42
213,18.1
214,18.21
215,17.72
216,12.37
217,9.2
218,7.73
219,7.77
220,8.07
221,14.3
222,19.98
223,15.58
224,19.29
225,16.27
226,18.79
227,16.42
228,15.89
229,14.76
230,12.96
231,15.01
232,21.53
233,24.22
234,22.23
235,26.64
236,18.55
237,14.05
238,12.19
239,9.47
240,7.85
241,11.88
242,12.14
243,11.65
244,11.49
245,11.03
246,18.27
247,18.5
248,20.31
249,16.86
250,20.99
251,18.57
252,19.58
253,24.3
254,24.54
255,22.95
256,25.84
257,27.2
258,31.89
259,
260,
261,14.39
262,13.22
263,12.43
264,8.79
265,7.49
266,8.64
267,13.42
268,22.05
269,15.01
270,19.29
271,17.68
272,16.47
273,17.02
274,11.47
275,11.12
276,13.79
277,14.7
278,14.65
279,17.3
280,23.51
281,20.38
282,18.18
283,11.38
284,12.12
285,13.01
286,18.86
287,
288,18.5
289,13.4
290,12.02
291,13.21
292,13.99
293,9.75
294,3.72
295,19.57
296,23.37
297,27.18
298,29.49
299,29.68
300,28.86
301,27.21
302,26.33
303,28.7
304,26.11
305,22.49
306,18.0
307,7.68
308,14.42
309,19.6
310,20.18
311,21.92
312,22.45
313,25.39
314,28.78
315,29.81
316,29.61
317,36.77
318,44.4
319,43.87
320,48.1
321,39.67
322,35.94
323,39.32
324,40.61
325,31.89
326,31.24
327,36.93
328,35.47
329,29.36
330,26.76
331,26.12
332,21.56
333,16.59
334,16.59
335,17.6
336,15.01
337,13.1
338,15.0
339,14.57
340,16.75
341,22.94
342,30.15
343,30.88
344,25.15
345,24.24
346,24.81
347,24.55
348,28.02
349,27.07
350,26.53
351,29.11
352,28.26
353,23.71
354,22.06
355,24.7
356,24.45
357,22.14
358,21.34
359,30.26
360,28.79
361,24.98
362,25.55
363,33.06
364,32.32
365,37.23
366,26.62
367,22.89
368,17.62
369,25.38
370,27.18
371,25.33
372,28.4
373,25.95
374,28.46
375,34.39
376,29.44
377,21.87
378,26.0
379,17.9
380,15.2
381,16.48
382,19.8
383,19.89
384,20.4
385,21.62
386,23.9
387,26.19
388,31.42
389,37.1
390,44.38
391,40.68
392,47.68
393,50.57
394,47.5
395,35.46
396,30.19
397,27.36
398,27.48
399,28.03
400,25.22
401,19.5
402,17.15
403,12.44
404,11.47
405,19.66
406,24.18
407,24.56
408,30.91
409,37.88
410,38.97
411,38.14
412,36.02
413,49.02
414,60.06
415,74.4
416,83.81
417,69.74
418,48.28
419,38.03
420,36.09
421,36.57
422,38.2
423,38.36
424,38.07
425,32.48
426,25.75
427,10.69
428,12.41
429,20.7
430,26.21
431,29.78
432,31.4
433,32.72
434,33.79
435,38.93
436,35.23
437,41.61
438,48.7
439,53.99
440,55.73
441,55.34
442,55.12
443,51.15
444,54.71
445,44.37
446,37.76
447,42.26
448,44.66
449,38.55
450,33.72
451,24.28
452,22.58
453,23.84
454,22.72
455,25.3
456,27.39
457,26.97
458,29.67
459,32.58
460,30.48
461,38.13
462,45.65
463,50.35
464,48.84
465,49.27
466,34.81
467,34.5
468,30.88
469,29.23
470,27.47
471,32.03
472,36.53
473,40.54
474,42.59
475,37.28
476,31.68
477,32.25
478,27.82
479,29.01
480,30.17
481,24.38
482,17.37
483,16.85
484,18.01
485,18.27
486,17.77
487,20.71
488,24.3
489,21.68
490,21.17
491,19.68
492,22.92
493,23.43
494,22.69
495,26.79
496,27.53
497,27.46
498,28.3
499,28.06
500,24.36
501,18.14
502,19.66
503,16.38
504,11.88
505,14.72
506,8.93
507,10.38
508,12.94
509,14.05
510,14.38
511,15.2
512,19.27
513,23.1
514,14.87
515,15.96
516,15.41
517,19.09
518,18.3
519,25.27
520,34.34
521,38.15
522,35.81
523,32.89
524,37.97
525,40.89
526,38.92
527,32.84
528,21.91
529,17.59
530,18.2
531,13.33
532,11.41
533,15.6
534,26.86
535,35.58
536,24.16
537,22.15
538,20.72
539,25.0
540,22.71
541,16.68
542,19.09
543,15.99
544,19.3
545,29.44
546,37.62
547,39.19
548,31.64
549,25.25
550,23.13
551,18.97
552,17.16
553,16.09
554,18.87
555,24.19
556,27.14
557,50.38
558,76.58
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,27.96
591,
592,
593,
594,
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,
607,87.47
608,95.5
609,78.71
610,47.34
611,39.45
612,37.58
613,37.72
614,31.49
615,36.74
616,41.95
617,40.23
618,37.26
619,29.49
620,33.94
621,37.57
622,39.76
623,53.82
624,57.87
625,54.03
626,51.84
627,46.83
628,49.28
629,66.93
630,80.68
631,88.48
632,110.01
633,115.2
634,70.14
635,53.6
636,47.34
637,43.31
638,41.48
639,43.25
640,43.25
641,46.78
642,38.77
643,31.79
644,20.24
645,26.46
646,28.68
647,22.39
648,28.27
649,22.62
650,22.63
651,21.66
652,25.26
653,34.3
654,50.41
655,52.12
656,39.42
657,47.53
658,39.8
659,23.16
660,10.92
661,13.74
662,11.51
663,12.98
664,17.66
665,19.25
666,21.81
667,23.55
668,20.75
669,19.14
670,19.54
671,12.41
672,12.39
673,10.33
674,9.92
675,6.18
676,6.8
677,9.5
678,13.83
679,9.12
680,6.9
681,4.92
682,5.41
683,6.7
684,5.46
685,9.36
686,10.97
687,7.66
688,13.93
689,16.2
690,20.3
691,25.16
692,23.8
693,18.88
694,16.22
695,13.98
696,11.55
697,7.46
698,14.5
699,10.37
700,10.26
701,14.71
702,18.32
703,14.56
704,10.65
705,11.77
706,11.08
707,10.58
708,10.38
709,11.38
710,
711,19.48
712,11.63
713,5.85
714,12.79
715,
716,6.44
717,17.89
718,18.98
719,18.42
720,15.39
721,16.53
722,18.59
723,19.91
724,23.22
725,23.28
726,28.4
727,43.43
728,53.74
729,56.8
730,42.83
731,34.08
732,26.8
733,28.04
734,29.36
735,29.03
736,15.04
737,0.48
738,
739,
740,
741,
742,3.02
743,9.93
744,17.05
745,
746,
747,18.84
748,19.57
749,17.85
750,16.57
751,19.75
752,26.97
753,29.1
754,28.93
755,28.8
756,25.3
757,26.66
758,24.75
759,25.02
760,20.99
761,20.91
762,15.08
763,3.16
764,14.94
765,18.39
766,17.91
767,18.55
768,21.15
769,21.67
770,26.6
771,29.72
772,33.42
773,43.18
774,41.6
775,58.71
776,81.92
777,80.36
778,56.86
779,38.43
780,33.05
781,29.23
782,27.06
783,30.13
784,21.17
785,18.4
786,12.02
787,
788,5.67
789,12.05
790,18.78
791,20.91
792,26.22
793,37.04
794,38.5
795,35.02
796,35.15
797,42.48
798,44.14
799,57.16
800,82.25
801,69.84
802,49.14
803,37.11
804,42.33
805,37.25
806,34.9
807,35.32
808,23.47
809,11.45
810,10.22
811,7.37
812,14.96
813,12.18
814,17.31
815,21.03
816,25.64
817,24.43
818,26.74
819,22.65
820,22.22
821,25.78
822,28.36
823,32.58
824,44.36
825,34.65
826,27.2
827,30.0
828,27.58
829,24.74
830,17.62
831,27.14
832,15.99
833,10.82
834,16.28
835,12.01
836,13.28
837,12.3
838,14.36
839,14.35
840,19.73
841,25.17
842,27.58
843,25.62
844,23.04
845,23.64
846,22.18
847,24.04
848,19.49
849,27.08
850,27.61
851,22.15
852,20.83
853,15.44
854,14.96
855,24.69
856,18.8
857,10.68
858,11.69
859,15.95
860,6.71
861,14.6
862,17.27
863,20.36
864,
865,
866,25.67
867,26.33
868,25.9
869,23.8
870,16.25
871,29.84
872,50.02
873,33.46
874,36.36
875,30.68
876,28.22
877,25.92
878,29.92
879,40.73
880,28.02
881,1.47
882,3.58
883,
884,4.95
885,18.34
886,23.49
887,30.47
888,37.48
889,35.16
890,38.53
891,40.81
892,44.1
893,61.04
894,77.0
895,97.06
896,84.1
897,76.69
898,62.28
899,46.56
900,34.86
901,
902,27.52
903,27.94
904,16.46
905,11.21
906,25.36
907,55.04
908,82.29
909,102.99
910,137.78
911,133.29
912,155.53
913,120.48
914,102.27
915,82.02
916,72.23
917,91.05
918,218.2
919,180.29
920,142.94
921,129.36
922,106.83
923,91.16
924,52.47
925,30.74
926,23.67
927,25.5
928,16.86
929,7.67
930,11.57
931,17.08
932,3.29
933,26.15
934,29.6
935,24.75
936,20.03
937,19.72
938,20.29
939,19.68
940,25.56
941,35.2
942,46.63
943,48.31
944,27.85
945,21.79
946,21.06
947,23.01
948,21.51
949,24.39
950,28.5
951,33.35
952,24.66
953,13.4
954,13.14
955,3.03
956,10.03
957,24.45
958,24.55
959,27.31
960,34.06
961,31.66
962,31.82
963,27.27
964,32.2
965,28.48
966,35.06
967,35.4
968,31.59
969,19.69
970,17.25
971,18.17
972,19.67
973,20.02
974,23.36
975,21.44
976,15.89
977,9.67
978,
979,
980,1.63
981,18.08
982,21.02
983,20.42
984,25.99
985,30.77
986,30.04
987,29.52
988,27.02
989,25.59
990,34.61
991,40.91
992,54.52
993,58.79
994,47.58
995,38.44
996,37.06
997,20.47
998,16.79
999,23.62
1000,19.56
1001,13.47
1002,
1003,
1004,
1005,1.06
1006,6.37
1007,8.55
1008,16.18
1009,20.82
1010,29.95
1011,33.27
1012,34.01
1013,38.05
1014,50.66
1015,62.95
1016,59.07
1017,47.62
1018,36.36
1019,28.98
1020,27.38
1021,31.36
1022,35.43
1023,34.9
1024,15.39
1025,5.01
1026,
1027,
1028,
1029,6.85
1030,12.77
1031,16.44
1032,21.62
1033,26.67
1034,30.42
1035,29.42
1036,30.23
1037,33.51
1038,43.48
1039,65.83
1040,72.36
1041,57.43
1042,51.4
1043,50.8
1044,43.96
1045,33.19
1046,28.29
1047,23.17
1048,10.11
1049,
1050,
1051,
1052,
1053,
1054,
1055,12.29
1056,19.91
1057,29.68
1058,34.68
1059,34.97
1060,37.13
1061,46.22
1062,51.81
1063,66.83
1064,83.81
1065,78.13
1066,53.07
1067,33.6
1068,29.29
1069,24.1
1070,24.6
1071,26.68
1072,12.67
1073,1.88
1074,
1075,
1076,
1077,
1078,6.53
1079,16.59
1080,30.27
1081,35.08
1082,47.04
1083,53.79
1084,50.0
1085,55.72
1086,63.73
1087,86.08
1088,122.08
1089,117.16
1090,73.28
1091,42.53
1092,30.91
1093,33.67
1094,34.34
1095,29.32
1096,19.2
1097,6.64
1098,
1099,
1100,
1101,
1102,3.67
1103,16.12
1104,28.57
1105,43.46
1106,48.08
1107,52.16
1108,48.64
1109,58.62
1110,71.33
1111,87.25
1112,93.33
1113,91.07
1114,70.18
1115,39.98
1116,31.18
1117,25.6
1118,20.59
1119,23.65
1120,15.16
1121,8.92
1122,4.88
1123,
1124,
1125,
1126,
