Index,Feiz-PM2.5
0,7.0
1,6.0
2,4.0
3,5.0
4,5.0
5,13.0
6,25.0
7,11.0
8,9.0
9,10.0
10,9.0
11,11.0
12,12.0
13,15.0
14,16.0
15,26.0
16,25.0
17,32.0
18,36.0
19,14.0
20,17.0
21,19.0
22,21.0
23,17.0
24,18.0
25,25.0
26,18.0
27,16.0
28,12.0
29,16.0
30,19.0
31,11.0
32,11.0
33,15.0
34,13.0
35,11.0
36,15.0
37,9.0
38,17.0
39,10.0
40,13.0
41,11.0
42,8.0
43,9.0
44,8.0
45,10.0
46,12.0
47,8.0
48,7.0
49,8.0
50,9.0
51,9.0
52,7.0
53,10.0
54,12.0
55,10.0
56,17.0
57,14.0
58,12.0
59,16.0
60,14.0
61,18.0
62,21.0
63,24.0
64,22.0
65,23.0
66,20.0
67,10.0
68,16.0
69,6.0
70,4.0
71,5.0
72,3.0
73,4.0
74,14.0
75,10.0
76,11.0
77,11.0
78,28.0
79,41.0
80,
81,
82,54.0
83,44.0
84,26.0
85,22.0
86,
87,42.0
88,32.0
89,30.0
90,23.0
91,20.0
92,22.0
93,20.0
94,55.0
95,69.0
96,58.0
97,103.0
98,46.0
99,34.0
100,31.0
101,27.0
102,30.0
103,35.0
104,45.0
105,72.0
106,76.0
107,88.0
108,65.0
109,38.0
110,24.0
111,23.0
112,33.0
113,39.0
114,31.0
115,26.0
116,23.0
117,33.0
118,34.0
119,32.0
120,85.0
121,42.0
122,29.0
123,26.0
124,33.0
125,29.0
126,49.0
127,45.0
128,98.0
129,88.0
130,62.0
131,53.0
132,39.0
133,29.0
134,32.0
135,27.0
136,27.0
137,
138,
139,
140,
141,42.0
142,35.0
143,32.0
144,34.0
145,41.0
146,54.0
147,68.0
148,52.0
149,54.0
150,73.0
151,65.0
152,57.0
153,86.0
154,84.0
155,112.0
156,84.0
157,79.0
158,59.0
159,61.0
160,50.0
161,54.0
162,33.0
163,15.0
164,32.0
165,33.0
166,32.0
167,30.0
168,29.0
169,26.0
170,26.0
171,31.0
172,26.0
173,20.0
174,22.0
175,20.0
176,24.0
177,29.0
178,27.0
179,36.0
180,41.0
181,27.0
182,31.0
183,26.0
184,31.0
185,37.0
186,36.0
187,38.0
188,40.0
189,57.0
190,45.0
191,30.0
192,30.0
193,25.0
194,33.0
195,30.0
196,23.0
197,23.0
198,24.0
199,36.0
200,21.0
201,27.0
202,24.0
203,19.0
204,22.0
205,23.0
206,22.0
207,25.0
208,33.0
209,36.0
210,40.0
211,40.0
212,22.0
213,18.0
214,22.0
215,17.0
216,17.0
217,16.0
218,20.0
219,13.0
220,11.0
221,17.0
222,14.0
223,17.0
224,13.0
225,9.0
226,13.0
227,13.0
228,11.0
229,14.0
230,14.0
231,9.0
232,11.0
233,12.0
234,8.0
235,9.0
236,9.0
237,7.0
238,5.0
