Index,Kave-PM2.5
0,19.02
1,13.94
2,11.26
3,14.92
4,12.15
5,13.01
6,18.94
7,22.72
8,24.2
9,25.15
10,19.14
11,24.32
12,26.99
13,21.29
14,20.2
15,20.28
16,20.32
17,26.24
18,24.3
19,20.53
20,28.02
21,24.63
22,18.46
23,16.79
24,18.34
25,14.85
26,19.33
27,17.04
28,16.57
29,17.57
30,16.04
31,15.3
32,19.58
33,20.07
34,17.27
35,28.71
36,27.67
37,24.43
38,27.46
39,23.99
40,21.86
41,24.13
42,23.88
43,20.9
44,24.14
45,21.91
46,21.86
47,28.0
48,22.92
49,20.84
50,23.33
51,18.31
52,19.27
53,17.22
54,19.14
55,20.56
56,22.39
57,25.94
58,29.85
59,29.39
60,32.43
61,30.9
62,30.47
63,31.69
64,32.16
65,36.04
66,38.83
67,34.15
68,28.04
69,28.39
70,25.62
71,30.33
72,31.34
73,24.5
74,19.11
75,16.61
76,26.5
77,40.37
78,50.25
79,49.14
80,44.53
81,48.58
82,48.47
83,52.97
84,58.14
85,61.02
86,56.52
87,47.39
88,47.07
89,54.09
90,49.75
91,50.18
92,53.62
93,73.37
94,71.11
95,59.21
96,58.0
97,57.35
98,47.04
99,39.78
100,35.98
101,46.6
102,45.45
103,48.83
104,46.56
105,43.18
106,62.18
107,90.64
108,91.27
109,79.28
110,73.94
111,53.36
112,38.25
113,36.41
114,36.13
115,38.96
116,30.48
117,29.31
118,29.55
119,37.97
120,55.31
121,50.38
122,43.18
123,41.55
124,41.31
125,48.82
126,55.03
127,55.59
128,71.13
129,99.95
130,95.44
131,88.67
132,81.4
133,73.58
134,69.5
135,58.39
136,51.57
137,58.63
138,65.02
139,71.79
140,70.94
141,59.18
142,50.75
143,54.98
144,54.07
145,56.98
146,73.13
147,85.26
148,98.36
149,102.22
150,105.43
151,104.27
152,99.98
153,91.59
154,90.76
155,139.71
156,144.15
157,136.43
158,111.47
159,83.14
160,73.68
161,73.19
162,63.15
163,43.5
164,37.18
165,36.72
166,34.14
167,36.46
168,29.8
169,30.26
170,30.34
171,26.79
172,27.06
173,31.16
174,27.48
175,32.32
176,40.73
177,32.35
178,31.48
179,28.85
180,35.27
181,43.66
182,39.62
183,33.04
184,31.81
185,49.25
186,45.69
187,46.82
188,45.15
189,76.07
190,59.76
191,53.29
192,65.31
193,84.99
194,121.69
195,134.6
196,109.39
197,108.95
198,106.28
199,98.09
200,146.11
201,133.21
202,100.24
203,84.95
204,74.47
205,56.9
206,50.21
207,43.47
208,42.4
209,43.68
210,44.81
211,48.95
212,41.92
213,40.52
214,36.9
215,36.9
216,34.04
217,31.92
218,25.04
219,31.94
220,25.71
221,18.25
222,21.9
223,19.2
224,22.82
225,19.31
226,22.24
227,25.56
228,26.62
229,34.49
230,34.03
231,35.22
232,31.5
233,36.34
234,31.62
235,26.79
236,27.9
237,27.68
238,21.13
239,24.28
240,24.58
241,20.11
242,29.52
243,35.25
244,32.52
245,28.78
246,27.5
247,21.51
248,19.65
249,15.01
250,14.34
251,21.27
252,23.65
253,32.67
254,44.64
255,48.81
256,47.38
257,47.02
258,44.3
259,44.39
260,41.57
261,38.7
262,34.31
263,34.56
264,36.17
265,27.75
266,25.65
267,29.45
268,32.84
269,54.42
270,76.73
271,85.04
272,76.42
273,57.45
274,50.01
275,57.46
276,52.86
277,48.7
278,42.6
279,44.13
280,39.72
281,42.99
282,38.39
283,41.3
284,37.1
285,34.23
286,42.86
287,65.11
288,65.44
289,65.8
290,64.58
291,72.28
292,67.81
293,68.27
294,65.95
295,94.71
296,127.87
297,131.02
298,146.58
299,178.98
300,194.48
301,166.69
302,121.6
303,92.93
304,81.24
305,84.45
306,82.31
307,74.56
308,82.81
309,84.86
310,90.84
311,94.85
312,117.39
313,124.18
314,132.4
315,115.43
316,101.99
317,93.99
318,95.27
319,101.01
320,96.27
321,90.75
322,93.76
323,111.48
324,136.6
325,137.99
326,129.53
327,117.53
328,106.09
329,105.54
330,100.79
331,93.97
332,88.93
333,71.66
334,61.7
335,59.67
336,55.91
337,49.04
338,46.0
339,48.89
340,58.22
341,69.03
342,60.12
343,80.17
344,96.52
345,89.78
346,88.14
347,90.24
348,84.56
349,76.5
350,67.63
351,70.29
352,64.46
353,68.49
354,73.36
355,77.88
356,70.18
357,73.13
358,85.62
359,98.0
360,111.79
361,113.07
362,110.72
363,93.68
364,98.03
365,91.97
366,77.74
367,69.14
368,52.61
369,39.06
370,32.28
371,33.56
372,43.35
373,43.45
374,46.2
375,49.76
376,53.5
377,65.62
378,66.88
379,58.34
380,49.93
381,43.92
382,36.04
383,53.36
384,51.95
385,51.22
386,56.58
387,65.32
388,69.21
389,81.35
390,82.05
391,76.61
392,80.01
393,78.74
394,79.26
395,94.82
396,99.92
397,92.8
398,84.06
399,83.19
400,67.7
401,75.61
402,80.51
403,75.97
404,75.14
405,83.26
406,106.17
407,106.95
408,109.87
409,109.97
410,102.24
411,94.35
412,92.22
413,89.24
414,89.51
415,91.04
416,100.36
417,110.71
418,110.86
419,117.27
420,123.49
421,122.89
422,119.04
423,111.37
424,95.09
425,110.12
426,107.79
427,111.01
428,108.77
429,116.31
430,117.21
431,128.74
432,150.74
433,153.6
434,149.0
435,144.19
436,133.31
437,133.07
438,118.13
439,112.34
440,95.64
441,92.35
442,96.48
443,106.58
444,107.8
445,109.64
446,110.03
447,102.68
448,98.12
449,95.2
450,101.32
451,91.81
452,90.93
453,96.01
454,100.46
455,102.53
456,98.79
457,106.73
458,106.6
459,107.94
460,106.3
461,114.44
462,136.0
463,143.68
464,147.25
465,140.23
466,117.36
467,105.44
468,86.6
469,73.09
470,67.5
471,57.83
472,50.48
473,45.52
474,46.33
475,48.23
476,60.28
477,64.47
478,64.84
479,76.99
480,88.82
481,98.1
482,89.48
483,97.17
484,90.83
485,91.91
486,78.0
487,85.85
488,85.14
489,82.3
490,67.23
491,60.64
492,58.86
493,42.6
494,48.93
495,39.79
496,36.5
497,40.12
498,38.91
499,31.31
500,31.17
501,29.63
502,22.35
503,17.04
504,16.33
505,12.48
506,9.02
507,12.08
508,10.26
509,8.08
510,11.31
511,15.83
512,12.84
513,11.08
514,16.51
515,22.13
516,26.42
517,30.78
518,26.77
519,34.23
520,34.24
521,36.16
522,49.06
523,57.06
524,58.15
525,58.38
526,55.19
527,54.48
528,45.18
529,33.36
530,34.66
531,30.72
532,22.64
533,22.92
534,18.03
535,13.24
536,9.92
537,20.97
538,24.85
539,28.07
540,27.48
541,26.35
542,20.08
543,15.04
544,11.41
545,11.52
546,18.71
547,16.14
548,12.06
549,9.49
550,6.9
551,7.42
552,6.26
553,14.81
554,19.62
555,16.2
556,26.32
557,45.56
558,57.68
559,55.39
560,64.16
561,68.07
562,75.72
563,76.99
564,79.38
565,77.28
566,66.75
567,52.62
568,57.59
569,64.58
570,69.35
571,69.9
572,63.07
573,70.37
574,73.53
575,77.57
576,70.26
577,74.7
578,73.91
579,68.13
580,67.23
581,69.08
582,66.23
583,61.32
584,55.97
585,54.44
586,51.32
587,44.87
588,47.89
589,52.27
590,55.78
591,64.51
592,65.49
593,80.52
594,91.04
595,98.83
596,84.3
597,97.52
598,106.68
599,104.42
600,92.21
601,85.98
602,89.8
603,81.71
604,80.76
605,82.2
606,82.08
607,75.44
608,69.04
609,76.21
610,104.46
611,142.66
612,145.93
613,129.12
614,118.85
615,117.88
616,106.7
617,101.91
618,106.43
619,108.11
620,115.21
621,123.58
622,141.33
623,157.17
624,145.16
625,132.23
626,125.33
627,116.73
628,109.68
629,117.29
630,120.25
631,119.72
632,122.93
633,138.43
634,178.6
635,207.71
636,175.49
637,136.64
638,100.63
639,81.99
640,75.12
641,80.3
642,75.33
643,81.76
644,100.64
645,79.38
646,51.52
647,45.65
648,38.9
649,30.58
650,24.98
651,18.5
652,13.07
653,18.91
654,16.95
655,12.94
656,10.96
657,58.06
658,70.69
659,75.72
660,55.91
661,39.31
662,27.71
663,20.59
664,15.38
665,14.6
666,11.5
667,15.81
668,13.38
669,10.97
670,10.91
671,17.48
672,15.0
673,11.21
674,8.21
675,6.66
676,5.03
677,7.91
678,9.96
679,8.74
680,6.34
681,4.44
682,3.66
683,9.75
684,13.21
685,10.35
686,7.24
687,5.07
688,3.54
689,2.48
690,1.74
691,1.22
692,0.85
693,0.6
694,0.47
695,1.05
696,3.13
697,3.12
698,2.78
699,4.6
700,4.26
701,3.08
702,2.16
703,1.85
704,5.24
705,7.86
706,6.3
707,4.98
708,6.69
709,17.26
710,15.41
711,14.75
712,21.6
713,26.64
714,30.43
715,35.13
716,38.84
717,44.95
718,55.64
719,73.74
720,110.66
721,117.48
722,96.35
723,80.27
724,67.61
725,60.88
726,59.06
727,50.83
728,46.6
729,39.42
730,39.96
731,32.18
732,45.84
733,54.6
734,63.54
735,60.14
736,70.17
737,75.4
738,79.05
739,103.0
740,117.35
741,123.44
742,149.94
743,167.88
744,146.0
745,102.21
746,87.32
747,75.91
748,78.17
749,69.57
750,65.86
751,59.53
752,51.91
753,55.38
754,50.6
755,49.45
756,68.23
757,91.64
758,118.78
759,116.45
760,132.84
761,159.24
762,162.18
763,167.67
764,171.39
765,161.04
766,184.21
767,222.93
