Index,Kave-SO2
0,10.4
1,8.97
2,8.7
3,8.87
4,10.47
5,9.8
6,11.6
7,19.64
8,20.33
9,13.44
10,10.57
11,23.43
12,13.52
13,13.35
14,10.0
15,8.97
16,12.83
17,14.61
18,14.96
19,14.91
20,15.43
21,15.06
22,15.11
23,15.85
24,15.35
25,15.53
26,16.55
27,17.08
28,16.81
29,15.43
30,14.73
31,14.94
32,15.61
33,15.91
34,16.63
35,12.55
36,13.06
37,13.91
38,13.45
39,13.01
40,15.49
41,14.61
42,13.74
43,12.19
44,11.92
45,10.93
46,11.02
47,9.1
48,8.98
49,8.65
50,8.12
51,8.12
52,7.55
53,8.2
54,9.26
55,10.14
56,10.33
57,11.93
58,11.55
59,8.77
60,7.88
61,9.77
62,9.92
63,10.42
64,12.2
65,11.99
66,8.71
67,9.2
68,7.68
69,7.55
70,6.42
71,6.74
72,8.23
73,6.98
74,6.82
75,8.1
76,8.03
77,8.38
78,5.92
79,4.63
80,4.36
81,6.82
82,11.86
83,22.99
84,26.77
85,32.73
86,26.28
87,18.07
88,18.67
89,18.16
90,17.56
91,17.8
92,20.04
93,15.5
94,14.68
95,8.25
96,7.74
97,7.14
98,5.81
99,3.94
100,4.37
101,4.65
102,2.07
103,1.61
104,3.0
105,7.65
106,14.12
107,28.52
108,32.78
109,32.45
110,24.07
111,20.86
112,18.63
113,17.56
114,20.05
115,18.63
116,18.7
117,18.89
118,18.77
119,10.76
120,10.75
121,8.85
122,9.15
123,7.77
124,10.38
125,9.32
126,11.04
127,12.65
128,15.23
129,19.14
130,22.29
131,21.37
132,21.32
133,21.9
134,15.63
135,16.78
136,19.58
137,21.52
138,21.14
139,20.83
140,16.46
141,16.33
142,16.33
143,11.55
144,12.89
145,12.99
146,13.44
147,12.15
148,13.72
149,13.74
150,11.97
151,11.93
152,13.69
153,16.46
154,20.18
155,18.54
156,27.41
157,29.6
158,22.69
159,21.18
160,18.89
161,16.97
162,16.35
163,13.51
164,9.84
165,8.43
166,9.42
167,9.65
168,9.28
169,9.24
170,8.72
171,7.27
172,6.6
173,7.15
174,6.17
175,5.75
176,6.27
177,10.36
178,12.67
179,16.5
180,20.12
181,17.2
182,15.96
183,15.38
184,14.85
185,18.05
186,17.24
187,14.11
188,16.78
189,15.59
190,15.05
191,10.11
192,11.97
193,11.23
194,10.56
195,7.37
196,8.73
197,7.92
198,9.35
199,14.75
200,14.09
201,12.63
202,17.4
203,24.36
204,27.78
205,23.28
206,21.84
207,18.98
208,18.56
209,18.59
210,19.23
211,20.66
212,15.62
213,14.45
214,12.76
215,11.21
216,10.59
217,9.2
218,10.81
219,10.09
220,10.72
221,9.93
222,11.39
223,9.97
224,9.98
225,10.3
226,8.95
227,11.23
228,13.2
229,13.66
230,13.36
231,13.66
232,14.89
233,15.73
234,14.83
235,14.15
236,12.79
237,11.55
238,11.38
239,10.04
240,8.45
241,7.75
242,6.55
243,6.02
244,4.7
245,3.38
246,4.24
247,3.85
248,2.57
249,5.23
250,12.88
251,16.96
252,19.66
253,22.86
254,20.93
255,18.83
256,19.61
257,21.04
258,20.11
259,19.06
260,15.66
261,14.32
262,12.09
263,7.75
264,6.74
265,4.46
266,3.29
267,2.43
268,2.1
269,2.59
270,2.89
271,0.84
272,0.49
273,2.4
274,7.01
275,12.95
276,15.81
277,17.67
278,19.41
279,17.39
280,17.92
281,18.36
282,19.9
283,15.26
284,14.01
285,13.49
286,12.79
287,7.83
288,6.88
289,6.26
290,5.96
291,5.68
292,4.85
293,7.03
294,6.65
295,9.4
296,2.7
297,3.51
298,4.03
299,13.15
300,27.23
301,33.9
302,27.33
303,22.67
304,22.85
305,23.74
306,23.01
307,21.56
308,18.69
309,16.39
310,16.73
311,12.5
312,9.49
313,9.23
314,5.2
315,4.18
316,3.2
317,3.93
318,0.85
319,0.96
320,3.16
321,12.59
322,24.29
323,27.63
324,31.78
325,34.64
326,30.55
327,27.05
328,26.79
329,25.1
330,26.42
331,26.49
332,20.89
333,18.06
334,15.94
335,8.42
336,6.27
337,4.45
338,2.25
339,1.0
340,0.02
341,
342,0.01
343,0.31
344,
345,2.96
346,30.68
347,70.25
348,75.9
349,64.43
350,42.25
351,31.4
352,28.58
353,28.65
354,28.61
355,22.3
356,23.28
357,22.49
358,16.98
359,10.1
360,7.44
361,6.27
362,3.31
363,2.53
364,0.94
365,
366,
367,
368,
369,1.73
370,9.31
371,28.29
372,34.62
373,37.71
374,37.12
375,36.6
376,38.25
377,38.68
378,33.46
379,30.93
380,27.77
381,26.44
382,21.65
383,10.69
384,7.89
385,6.26
386,3.13
387,1.36
388,0.13
389,0.25
390,
391,
392,
393,1.81
394,11.49
395,44.25
396,51.99
397,49.34
398,45.56
399,38.33
400,35.44
401,32.62
402,32.9
403,30.03
404,28.73
405,25.85
406,22.0
407,5.89
408,3.86
409,2.22
410,0.4
411,
412,0.02
413,0.32
414,0.26
415,0.29
416,0.56
417,10.57
418,22.06
419,43.06
420,49.71
421,54.75
422,48.02
423,43.49
424,41.59
425,38.13
426,38.32
427,38.26
428,35.53
429,30.46
430,28.62
431,11.64
432,8.28
433,6.44
434,2.18
435,0.97
436,
437,0.55
438,0.03
439,0.01
440,3.0
441,16.82
442,31.96
443,54.14
444,61.22
445,56.14
446,49.05
447,40.83
448,38.3
449,37.73
450,33.56
451,32.74
452,31.29
453,24.27
454,21.15
455,9.38
456,7.08
457,5.97
458,3.6
459,2.69
460,2.12
461,2.25
462,2.46
463,0.51
464,0.7
465,13.71
466,30.06
467,45.27
468,42.04
469,44.73
470,42.07
471,39.73
472,34.88
473,32.53
474,31.94
475,35.79
476,40.71
477,37.77
478,37.14
479,22.13
480,18.22
481,16.77
482,14.03
483,12.68
484,12.51
485,12.42
486,14.49
487,16.92
488,27.99
489,32.91
490,35.28
491,28.26
492,30.05
493,21.01
494,14.03
495,12.61
496,13.85
497,14.52
498,14.02
499,12.08
500,11.54
501,9.52
502,8.27
503,8.61
504,7.37
505,6.14
506,4.6
507,2.85
508,2.71
509,3.02
510,3.67
511,2.21
512,2.09
513,2.77
514,6.9
515,11.61
516,13.41
517,16.55
518,17.14
519,15.37
520,18.43
521,19.97
522,19.92
523,16.38
524,15.46
525,14.04
526,13.93
527,9.33
528,8.47
529,7.67
530,6.83
531,5.07
532,3.23
533,2.2
534,1.38
535,1.1
536,2.24
537,4.12
538,7.19
539,18.17
540,14.87
541,20.08
542,20.75
543,14.79
544,11.69
545,9.68
546,6.5
547,4.16
548,2.95
549,1.54
550,0.3
551,7.65
552,7.61
553,6.53
554,6.76
555,6.95
556,7.14
557,8.36
558,8.34
559,8.37
560,8.34
561,7.38
562,7.94
563,13.58
564,15.42
565,21.14
566,22.85
567,23.25
568,24.92
569,25.04
570,25.16
571,22.33
572,21.41
573,21.38
574,18.51
575,8.64
576,6.46
