Index,Kerdabad-CO
0,1.05
1,1.02
2,0.66
3,0.45
4,0.53
5,0.6
6,1.05
7,0.44
8,0.33
9,0.33
10,0.31
11,0.3
12,0.31
13,0.37
14,0.33
15,0.42
16,0.68
17,1.08
18,1.64
19,0.99
20,0.94
21,0.79
22,0.68
23,0.59
24,0.63
25,0.57
26,0.2
27,0.19
28,0.2
29,0.21
30,0.27
31,0.25
32,0.26
33,0.25
34,0.27
35,0.27
36,0.25
37,0.23
38,0.25
39,0.27
40,0.32
41,0.31
42,0.31
43,0.27
44,0.24
45,0.23
46,0.21
47,0.19
48,0.18
49,0.19
50,0.18
51,
52,
53,
54,0.25
55,0.31
56,0.31
57,0.4
58,0.55
59,0.3
60,0.39
61,0.42
62,0.8
63,0.9
64,0.98
65,0.58
66,0.63
67,0.52
68,0.68
69,0.59
70,0.9
71,0.89
72,0.92
73,0.9
74,1.03
75,1.13
76,1.12
77,2.02
78,3.6
79,2.81
80,2.65
81,1.67
82,0.75
83,0.7
84,0.75
85,0.8
86,0.72
87,0.67
88,0.62
89,0.69
90,2.52
91,3.81
92,3.72
93,3.69
94,3.0
95,2.95
96,1.85
97,1.7
98,1.25
99,1.1
100,1.55
101,1.84
102,2.15
103,1.98
104,1.79
105,1.3
106,0.92
107,0.84
108,0.56
109,0.35
110,0.27
111,0.34
112,0.88
113,1.35
114,1.26
115,1.44
116,1.4
117,1.4
118,1.46
119,1.21
120,0.83
121,0.74
122,
123,
124,0.68
125,0.85
126,2.39
127,1.53
128,1.05
129,1.21
130,1.41
131,1.39
132,1.23
133,1.06
134,1.07
135,1.26
136,1.38
137,1.58
138,2.0
139,1.9
140,1.31
141,1.29
142,1.16
143,1.4
144,1.19
145,0.92
146,1.02
147,1.39
148,1.43
149,1.69
150,2.28
151,2.2
152,2.22
153,2.19
154,1.79
155,1.4
156,1.22
157,0.83
158,0.58
159,0.61
160,1.54
161,1.41
162,2.16
163,2.16
164,1.31
165,1.05
166,0.89
167,0.69
168,0.6
169,0.59
170,0.68
171,0.66
172,0.8
173,0.59
174,0.55
175,0.9
176,0.71
177,0.64
178,0.67
179,0.49
180,0.41
181,0.32
182,0.31
183,0.62
184,0.86
185,1.14
186,1.72
187,1.6
188,2.45
189,1.5
190,0.82
191,0.89
192,0.82
193,0.59
194,0.61
195,0.69
196,0.79
197,0.62
198,0.8
199,1.53
200,1.35
201,1.03
202,0.43
203,0.27
204,0.31
205,0.23
206,0.24
207,0.3
208,0.77
209,1.69
210,1.99
211,1.56
212,0.35
213,0.31
214,0.3
215,0.26
216,0.23
217,0.22
218,0.21
219,0.25
220,0.22
221,0.23
222,0.26
223,0.26
224,0.48
225,0.87
226,0.29
227,0.26
228,0.43
229,0.55
230,0.47
231,0.53
232,0.77
233,0.86
234,0.69
235,0.67
236,0.62
237,0.39
238,0.37
239,0.27
240,0.34
241,0.27
242,0.29
243,0.26
244,0.33
245,0.55
246,0.79
247,0.92
248,1.01
249,0.82
250,0.57
251,0.59
252,0.62
253,0.72
254,0.67
255,0.75
256,0.99
257,0.74
258,1.15
259,0.3
260,0.28
261,0.24
262,0.23
263,0.21
264,0.21
265,0.24
266,0.28
267,0.29
268,0.4
269,0.83
270,0.71
271,1.02
272,0.62
273,0.31
274,0.28
275,0.28
276,0.36
277,0.28
278,0.44
279,0.54
280,0.6
281,0.5
282,0.89
283,1.1
284,1.22
285,1.31
286,0.81
287,0.58
288,0.42
289,0.3
290,0.41
291,0.36
292,0.38
293,0.73
294,1.39
295,1.84
296,1.41
297,1.23
298,0.86
299,0.88
300,0.77
301,0.75
302,0.75
303,0.95
304,0.78
305,1.03
306,1.63
307,1.99
308,1.91
309,2.06
310,2.07
311,2.15
312,1.48
313,1.45
314,1.29
315,1.38
316,1.3
317,1.4
318,1.74
319,1.7
320,1.75
321,1.43
322,1.51
323,1.27
324,1.1
325,0.79
326,0.73
327,0.76
328,1.11
329,0.94
330,0.66
331,0.39
332,0.32
333,0.27
334,0.27
335,0.25
336,0.23
337,0.28
338,0.49
339,0.46
340,0.57
341,0.82
342,1.36
343,1.14
344,0.92
345,0.74
346,0.85
347,0.88
348,0.88
349,0.81
350,0.63
351,0.71
352,0.7
353,1.07
354,1.33
355,1.44
356,1.71
357,2.34
358,1.86
359,1.92
360,1.8
361,1.28
362,1.0
363,1.23
364,1.07
365,1.24
366,1.31
367,1.1
368,0.73
369,0.63
370,0.62
371,0.63
372,0.64
373,0.69
374,0.91
375,1.39
376,1.33
377,1.35
378,1.68
379,2.2
380,2.37
381,2.08
382,1.03
383,0.86
384,0.67
385,0.61
386,0.54
387,0.6
388,0.64
389,0.81
390,1.64
391,1.51
392,1.19
393,1.37
394,1.26
395,1.2
396,0.92
397,0.88
398,0.55
399,0.53
400,0.64
401,1.55
402,1.57
403,2.78
404,2.7
405,2.5
406,1.75
407,1.66
408,1.62
409,1.31
410,1.27
411,1.0
412,1.09
413,1.68
414,1.88
415,2.2
416,1.53
417,1.34
418,1.08
419,1.11
420,1.08
421,1.06
422,0.91
423,1.1
424,1.41
425,1.77
426,3.07
427,3.1
428,3.37
429,3.39
430,2.7
431,1.72
432,1.17
433,1.36
434,1.31
435,1.54
436,1.31
437,1.27
438,1.73
439,2.82
440,2.33
441,2.19
442,1.85
443,1.63
444,1.45
445,1.03
446,0.76
447,0.73
448,2.02
449,1.04
450,1.14
451,1.5
452,2.76
453,1.54
454,1.4
455,1.38
456,1.35
457,1.22
458,1.32
459,1.43
460,1.62
461,1.72
462,2.48
463,2.91
464,2.29
465,1.66
466,0.99
467,0.72
468,0.63
469,0.53
470,0.45
471,0.61
472,1.06
473,3.25
474,3.53
475,4.85
476,3.07
477,2.76
478,2.25
479,1.8
480,1.37
481,0.86
482,0.6
483,0.66
484,0.82
485,1.3
486,1.2
487,1.29
488,1.02
489,0.58
490,0.62
491,0.46
492,0.71
493,0.46
494,0.5
495,0.5
496,0.41
497,0.37
498,0.61
499,0.77
500,0.58
501,0.54
502,0.57
503,0.45
