Index,Kerdabad-NO
0,16.69
1,19.39
2,8.89
3,3.54
4,16.65
5,8.74
6,22.97
7,4.17
8,3.07
9,2.54
10,2.29
11,1.82
12,1.53
13,2.2
14,1.5
15,1.14
16,2.1
17,8.87
18,33.28
19,13.42
20,9.31
21,7.92
22,4.11
23,2.37
24,4.47
25,11.17
26,0.56
27,0.49
28,3.08
29,0.46
30,0.55
31,0.57
32,0.74
33,0.82
34,1.71
35,1.25
36,1.34
37,0.88
38,0.82
39,0.89
40,1.13
41,0.86
42,0.9
43,0.9
44,0.63
45,0.61
46,0.53
47,0.58
48,0.49
49,0.46
50,0.46
51,0.43
52,2.15
53,0.6
54,1.32
55,1.2
56,1.28
57,3.66
58,7.0
59,2.48
60,3.29
61,3.58
62,18.11
63,12.42
64,6.22
65,3.61
66,5.09
67,2.89
68,3.52
69,3.63
70,12.71
71,11.72
72,17.96
73,17.43
74,24.35
75,33.31
76,34.87
77,91.99
78,175.6
79,127.53
80,103.58
81,54.85
82,12.43
83,7.14
84,8.63
85,7.2
86,8.27
87,5.85
88,1.92
89,2.43
90,80.32
91,141.99
92,108.66
93,121.81
94,110.55
95,107.96
96,60.66
97,63.8
98,41.12
99,32.55
100,82.28
101,128.02
102,88.33
103,78.14
104,50.75
105,28.26
106,11.98
107,9.85
108,6.49
109,2.91
110,2.06
111,1.61
112,7.92
113,27.33
114,17.34
115,23.46
116,22.37
117,35.29
118,43.85
119,39.5
120,25.26
121,19.55
122,
123,
124,19.87
125,44.01
126,122.86
127,54.38
128,21.47
129,23.35
130,23.97
131,27.51
132,29.23
133,27.01
134,20.64
135,31.47
136,34.21
137,36.44
138,50.78
139,57.06
140,27.39
141,28.34
142,17.9
143,33.74
144,39.91
145,27.89
146,33.67
147,51.11
148,55.63
149,79.62
150,103.77
151,79.84
152,76.06
153,49.61
154,29.89
155,24.96
156,13.61
157,6.3
158,3.67
159,2.45
160,23.75
161,11.03
162,31.88
163,59.06
164,26.17
165,16.83
166,11.94
167,6.93
168,4.87
169,4.44
170,6.62
171,8.88
172,12.74
173,28.36
174,7.93
175,26.11
176,10.22
177,11.46
178,10.64
179,4.14
180,3.23
181,1.66
182,1.82
183,7.29
184,6.68
185,19.71
186,34.55
187,19.22
188,81.07
189,37.16
190,10.53
191,20.46
192,21.55
193,5.82
194,9.28
195,10.27
196,21.21
197,9.59
198,21.89
199,53.09
200,42.86
201,25.05
202,5.79
203,2.04
204,1.58
205,1.11
206,1.2
207,1.45
208,12.25
209,42.55
210,50.45
211,43.83
212,1.38
213,1.02
214,0.98
215,0.78
216,0.78
217,0.7
218,0.63
219,0.66
220,0.54
221,0.65
222,0.59
223,0.62
224,2.19
225,6.4
226,1.23
227,1.24
228,4.65
229,8.41
230,6.42
231,10.28
232,21.71
233,16.78
234,6.48
235,10.39
236,9.66
237,3.07
238,2.8
239,1.54
240,1.9
241,1.2
242,2.17
243,1.71
244,4.22
245,34.95
246,25.13
247,24.35
248,32.38
249,22.3
250,9.48
251,8.31
252,10.29
253,13.74
254,14.78
255,21.44
256,31.69
257,7.5
258,21.12
259,1.15
260,0.91
261,0.7
262,0.59
263,0.57
264,0.46
265,0.53
266,1.4
267,1.65
268,7.37
269,28.5
270,19.68
271,27.14
272,8.44
273,2.87
274,1.62
275,1.87
276,3.15
277,1.77
278,5.0
279,5.91
280,19.22
281,1.73
282,9.46
283,18.82
284,22.72
285,26.59
286,23.68
287,8.33
288,1.09
289,0.81
290,1.83
291,2.08
292,2.19
293,11.92
294,47.87
295,65.02
296,55.61
297,50.84
298,26.51
299,20.02
300,13.75
301,8.94
302,9.29
303,16.41
304,3.95
305,9.96
306,41.12
307,54.64
308,59.95
309,66.49
310,72.42
311,87.39
312,41.6
313,44.02
314,39.46
315,38.86
316,36.44
317,45.03
318,58.22
319,60.44
320,58.48
321,36.04
322,27.61
323,22.66
324,15.48
325,6.41
326,3.88
327,3.08
328,6.34
329,5.1
330,1.97
331,1.13
332,0.87
333,0.7
334,0.74
335,0.58
336,0.51
337,1.13
338,3.03
339,4.42
340,25.33
341,23.49
342,48.03
343,37.65
344,19.9
345,12.11
346,13.02
347,11.94
348,9.69
349,6.54
350,8.03
351,5.86
352,1.61
353,15.34
354,21.04
355,24.5
356,39.99
357,86.8
358,68.68
359,68.5
360,82.03
361,46.82
362,32.49
363,54.16
364,42.52
365,61.92
366,45.51
367,33.72
368,14.99
369,12.08
370,10.89
371,9.2
372,9.06
373,6.76
374,8.33
375,28.72
376,46.81
377,24.02
378,39.95
379,56.89
380,75.6
381,70.14
382,22.65
383,19.37
384,10.28
385,7.04
386,8.4
387,11.33
388,17.64
389,34.1
390,78.16
391,48.6
392,25.49
393,28.64
394,23.66
395,17.24
396,12.06
397,11.62
398,3.61
399,1.99
400,2.19
401,25.65
402,25.63
403,94.29
404,102.19
405,108.48
406,68.4
407,55.4
408,60.63
409,44.08
410,53.32
411,42.1
412,46.88
413,139.39
414,82.13
415,97.73
416,60.45
417,35.43
418,16.59
419,19.33
420,15.94
421,10.58
422,5.26
423,3.19
424,10.68
425,29.04
426,106.11
427,93.91
428,113.66
429,114.48
430,82.42
431,34.98
432,32.64
433,47.25
434,54.77
435,48.81
436,59.88
437,68.38
438,57.4
439,110.93
440,78.28
441,73.14
442,44.3
443,26.43
444,19.66
445,10.19
446,4.16
447,2.5
448,8.3
449,6.02
450,9.04
451,22.61
452,86.62
453,45.43
454,34.28
455,31.86
456,39.77
457,49.41
458,53.59
459,63.0
460,101.53
461,87.29
462,97.67
463,106.26
464,69.98
465,45.82
466,17.27
467,10.96
468,7.67
469,5.55
470,3.01
471,2.81
472,6.66
473,108.93
474,101.06
475,180.4
476,113.39
477,100.9
478,79.97
479,61.63
480,47.51
481,12.86
482,5.13
483,12.86
484,20.17
485,49.68
486,40.05
487,40.13
488,22.74
489,9.65
490,9.8
491,6.0
492,9.92
493,4.32
494,3.77
495,3.95
496,1.86
497,1.47
498,12.03
499,19.24
500,12.05
501,6.07
502,5.73
503,2.51
504,1.87
505,1.53
506,1.25
507,1.54
508,1.39
509,1.21
510,1.91
511,2.01
512,3.36
513,5.32
514,4.49
515,3.09
516,2.59
517,10.56
518,7.52
519,11.22
520,2.72
521,2.5
522,16.46
523,141.17
524,135.07
525,82.52
526,49.52
527,37.64
528,10.99
529,2.25
530,2.27
531,1.56
532,6.26
533,14.62
534,20.53
535,43.81
536,24.85
537,10.36
538,12.72
539,14.82
540,3.91
541,7.98
542,8.56
543,10.69
544,6.36
545,12.01
546,20.24
547,13.21
548,12.0
549,3.95
550,6.7
551,4.78
552,3.83
553,3.0
554,8.42
555,5.41
556,32.69
557,51.35
558,80.49
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,
579,
580,
581,
582,
583,
584,
585,
586,
587,
588,
589,
590,11.94
591,
592,
593,
594,
595,
596,50.27
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,
607,79.96
608,74.42
609,51.0
610,36.8
611,18.64
612,17.88
613,8.52
614,4.81
615,2.65
616,7.01
617,25.08
618,30.08
619,44.9
620,72.84
621,94.05
622,109.36
623,59.47
624,27.52
625,37.56
626,47.86
627,47.77
628,52.01
629,81.18
630,108.02
631,98.77
632,71.14
633,55.63
634,27.38
635,19.2
636,8.52
637,6.03
638,6.1
639,3.6
640,17.1
641,24.93
642,31.86
643,59.96
644,5.83
645,11.0
646,10.08
647,21.6
648,35.75
649,27.86
650,16.42
651,8.22
652,18.1
653,22.96
654,65.23
655,72.04
656,54.7
657,18.4
658,
659,
660,5.13
661,3.17
662,2.4
663,2.26
664,3.02
665,4.32
666,5.32
667,4.7
668,3.57
669,7.03
670,1.97
671,5.62
672,3.04
673,2.08
674,1.38
675,0.85
676,1.02
677,4.93
678,1.56
679,2.29
680,2.6
681,3.13
682,7.7
683,9.44
684,7.64
685,7.22
686,4.18
687,5.07
688,6.64
689,16.79
690,29.81
691,14.56
692,12.87
693,14.39
694,8.64
695,3.58
696,1.81
697,1.07
698,3.51
