Index,Kerdabad-NO2
0,11.49
1,11.27
2,13.61
3,9.85
4,9.71
5,11.19
6,10.51
7,7.29
8,5.1
9,3.74
10,3.31
11,2.87
12,3.22
13,4.47
14,4.48
15,7.36
16,15.09
17,18.51
18,13.98
19,14.8
20,16.09
21,14.82
22,14.01
23,10.58
24,13.31
25,9.11
26,1.54
27,1.39
28,1.99
29,1.94
30,2.01
31,2.44
32,2.74
33,2.82
34,4.58
35,3.01
36,2.9
37,2.06
38,2.78
39,2.99
40,4.42
41,3.95
42,4.17
43,2.97
44,2.3
45,2.48
46,1.85
47,1.44
48,0.72
49,1.54
50,0.87
51,0.97
52,1.07
53,0.88
54,2.34
55,3.32
56,3.34
57,4.47
58,5.47
59,3.32
60,5.42
61,6.11
62,10.5
63,9.83
64,10.92
65,9.32
66,9.7
67,8.85
68,13.21
69,11.71
70,13.83
71,16.02
72,11.82
73,9.68
74,7.71
75,6.25
76,4.16
77,
78,
79,
80,
81,6.01
82,7.33
83,8.76
84,11.2
85,12.24
86,14.1
87,13.33
88,12.23
89,12.01
90,
91,
92,
93,
94,
95,
96,1.93
97,
98,5.59
99,4.52
100,
101,
102,
103,2.18
104,10.74
105,13.29
106,12.95
107,12.5
108,7.64
109,3.87
110,3.37
111,5.47
112,11.99
113,12.03
114,12.38
115,11.95
116,12.6
117,8.98
118,7.2
119,6.82
120,10.33
121,11.98
122,
123,
124,7.99
125,5.68
126,
127,5.01
128,11.56
129,15.01
130,19.01
131,16.93
132,15.05
133,12.69
134,11.69
135,11.25
136,11.35
137,9.54
138,4.8
139,4.71
140,10.87
141,8.2
142,10.81
143,8.32
144,5.4
145,6.1
146,4.19
147,1.39
148,
149,
150,
151,
152,6.94
153,16.92
154,20.68
155,21.19
156,19.27
157,13.01
158,8.97
159,10.23
160,14.04
161,17.05
162,11.61
163,4.3
164,11.32
165,11.19
166,12.79
167,11.17
168,10.61
169,11.32
170,11.78
171,9.25
172,8.41
173,7.91
174,8.66
175,5.36
176,6.68
177,6.57
178,7.17
179,5.41
180,4.3
181,2.99
182,3.0
183,7.99
184,12.24
185,14.21
186,10.27
187,12.34
188,
189,6.86
190,9.24
191,8.19
192,11.63
193,12.29
194,10.99
195,9.91
196,8.75
197,10.68
198,7.92
199,3.97
200,5.51
201,9.06
202,4.94
203,2.15
204,1.61
205,1.52
206,2.4
207,4.18
208,10.15
209,9.39
210,6.59
211,6.54
212,4.73
213,3.52
214,4.15
215,3.13
216,2.22
217,2.13
218,2.16
219,3.07
220,2.06
221,2.42
222,2.86
223,2.94
224,3.89
225,7.41
226,2.95
227,2.23
228,5.98
229,9.25
230,7.18
231,8.55
232,8.09
233,9.55
234,11.57
235,6.93
236,7.13
237,5.27
238,4.85
239,3.64
240,5.56
241,5.3
242,5.2
243,4.45
244,5.87
245,5.19
246,9.36
247,8.09
248,5.45
249,7.31
250,6.38
251,6.42
252,8.14
253,9.84
254,9.45
255,10.69
