Index,Kerdabad-PM2.5
0,25.0
1,25.0
2,17.0
3,26.0
4,25.0
5,67.0
6,85.0
7,15.0
8,13.0
9,9.0
10,13.0
11,14.0
12,18.0
13,11.0
14,18.0
15,22.0
16,18.0
17,30.0
18,29.0
19,59.0
20,60.0
21,56.0
22,64.0
23,50.0
24,61.0
25,49.0
26,10.0
27,15.0
28,18.0
29,14.0
30,17.0
31,10.0
32,10.0
33,12.0
34,11.0
35,10.0
36,14.0
37,16.0
38,14.0
39,10.0
40,14.0
41,11.0
42,9.0
43,8.0
44,15.0
45,14.0
46,10.0
47,10.0
48,7.0
49,6.0
50,10.0
51,8.0
52,11.0
53,15.0
54,16.0
55,17.0
56,13.0
57,11.0
58,16.0
59,13.0
60,17.0
61,17.0
62,27.0
63,21.0
64,25.0
65,23.0
66,22.0
67,13.0
68,10.0
69,8.0
70,12.0
71,10.0
72,28.0
73,30.0
74,29.0
75,36.0
76,52.0
77,70.0
78,107.0
79,65.0
80,76.0
81,100.0
82,49.0
83,34.0
84,40.0
85,37.0
86,40.0
87,55.0
88,35.0
89,35.0
90,42.0
91,56.0
92,63.0
93,80.0
94,139.0
95,135.0
96,130.0
97,172.0
98,110.0
99,99.0
100,139.0
101,142.0
102,126.0
103,132.0
104,139.0
105,126.0
106,102.0
107,80.0
108,49.0
109,25.0
110,21.0
111,21.0
112,33.0
113,34.0
114,36.0
115,46.0
116,34.0
117,46.0
118,49.0
119,44.0
120,44.0
121,67.0
122,
123,
124,
125,72.0
126,96.0
127,77.0
128,126.0
129,127.0
130,117.0
131,90.0
132,69.0
133,129.0
134,142.0
135,76.0
136,52.0
137,51.0
138,48.0
139,45.0
140,35.0
141,46.0
142,39.0
143,46.0
144,48.0
145,37.0
146,42.0
147,55.0
148,49.0
149,55.0
150,65.0
151,64.0
152,227.0
153,212.0
154,204.0
155,106.0
156,102.0
157,70.0
158,54.0
159,46.0
160,61.0
161,55.0
162,62.0
163,24.0
164,44.0
165,40.0
166,43.0
167,37.0
168,30.0
169,39.0
170,56.0
171,56.0
172,102.0
173,28.0
174,48.0
175,127.0
176,76.0
177,61.0
178,59.0
179,45.0
180,47.0
181,34.0
182,28.0
183,33.0
184,39.0
185,38.0
186,42.0
187,52.0
188,56.0
189,51.0
190,32.0
191,45.0
192,42.0
193,31.0
194,91.0
195,40.0
196,54.0
197,43.0
198,31.0
199,63.0
200,72.0
201,47.0
202,27.0
203,20.0
204,22.0
205,20.0
206,19.0
207,25.0
208,31.0
209,42.0
210,44.0
211,44.0
212,22.0
213,19.0
214,17.0
215,19.0
216,18.0
217,18.0
218,15.0
219,16.0
220,16.0
221,15.0
222,18.0
223,17.0
224,10.0
225,15.0
226,12.0
227,11.0
228,11.0
229,20.0
230,6.0
231,2.0
232,12.0
233,18.0
234,13.0
235,10.0
236,11.0
237,6.0
238,7.0
239,9.0
240,8.0
241,10.0
242,28.0
243,16.0
244,20.0
245,32.0
246,42.0
247,56.0
248,70.0
249,70.0
250,50.0
251,35.0
252,40.0
253,43.0
254,38.0
255,32.0
256,34.0
