Index,MirzaTaher-CO
0,0.99
1,0.98
2,1.04
3,1.06
4,1.26
5,1.63
6,2.11
7,1.12
8,1.03
9,1.11
10,1.13
11,1.38
12,1.55
13,1.68
14,1.67
15,1.85
16,2.63
17,3.83
18,2.67
19,2.02
20,1.48
21,1.37
22,1.16
23,1.19
24,1.19
25,1.09
26,1.1
27,1.09
28,1.1
29,1.18
30,1.43
31,1.4
32,1.31
33,1.38
34,1.39
35,1.43
36,1.59
37,1.43
38,1.4
39,1.38
40,1.58
41,2.08
42,1.66
43,1.52
44,1.39
45,1.23
46,1.32
47,1.23
48,1.08
49,1.07
50,1.12
51,1.12
52,1.1
53,1.18
54,1.36
55,1.37
56,1.55
57,1.88
58,1.7
59,1.73
60,1.8
61,2.12
62,1.8
63,2.27
64,2.96
65,2.44
66,3.37
67,2.25
68,1.97
69,1.72
70,1.56
71,1.32
72,1.21
73,1.34
74,1.25
75,1.22
76,1.23
77,1.64
78,2.23
79,1.8
80,1.8
81,1.68
82,1.4
83,1.66
84,1.66
85,1.61
86,1.97
87,2.02
88,2.1
89,2.09
90,2.24
91,3.53
92,4.48
93,5.38
94,4.4
95,3.87
96,2.9
97,2.08
98,1.5
99,1.39
100,1.07
101,1.13
102,2.15
103,1.99
104,1.55
105,1.25
106,1.39
107,1.69
108,1.86
109,1.44
110,1.23
111,1.54
112,1.64
113,1.97
114,2.72
115,2.33
116,3.12
117,3.28
118,3.28
119,2.99
120,2.12
121,1.02
122,0.9
123,1.09
124,1.04
125,1.52
126,3.04
127,2.3
128,1.66
129,1.42
130,1.24
131,1.37
132,1.73
133,2.31
134,1.88
135,2.0
136,2.87
137,3.19
138,4.01
139,3.51
140,3.47
141,2.74
142,2.18
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,1.87
153,1.4
154,1.39
155,2.11
156,1.72
157,2.0
158,1.85
159,1.45
160,1.57
161,1.78
162,2.72
163,2.39
164,1.97
165,1.36
166,1.48
167,1.52
168,1.24
169,1.22
170,1.26
171,1.16
172,1.19
173,1.59
174,1.63
175,1.12
176,1.14
177,1.14
178,1.17
179,1.3
180,1.47
181,1.41
182,1.51
183,1.68
184,1.67
185,1.79
186,2.37
187,2.88
188,2.76
189,2.59
190,2.29
191,1.52
192,1.48
193,1.41
194,1.41
195,1.57
196,1.49
197,1.74
198,1.81
199,2.32
200,1.39
201,1.19
202,1.14
203,1.18
204,1.09
205,1.42
206,1.19
207,1.26
208,1.65
209,2.64
210,3.09
211,3.81
212,1.89
213,1.11
214,1.35
215,1.13
216,0.97
217,0.94
218,0.92
219,0.95
220,0.92
221,0.97
222,1.11
223,1.17
224,1.24
225,1.46
226,1.27
227,1.97
228,1.32
229,1.39
230,1.24
231,1.24
232,1.38
233,1.47
234,1.44
235,2.49
236,1.47
237,1.23
238,1.03
239,1.12
240,1.09
241,1.12
242,1.09
243,1.06
244,1.01
245,1.11
246,1.47
247,1.44
248,1.56
249,1.4
250,1.39
251,1.39
252,1.38
253,1.99
254,1.65
255,1.52
256,1.6
257,1.8
258,2.12
259,1.82
260,1.25
261,1.14
262,1.05
263,1.18
264,1.1
265,1.09
266,1.13
267,1.09
268,1.05
269,1.11
270,1.6
271,1.39
272,1.48
273,1.55
274,2.64
275,1.49
276,1.34
277,1.54
278,1.29
279,1.21
280,1.43
281,1.6
282,1.47
283,1.73
284,2.32
285,2.08
286,1.98
287,1.65
288,1.52
289,1.52
290,1.57
291,1.71
292,1.7
293,1.95
294,2.89
295,2.35
296,2.07
297,2.92
298,2.28
299,2.24
300,2.4
301,2.03
302,1.56
303,1.56
304,1.88
305,1.79
306,1.9
307,2.31
308,3.28
309,4.11
310,3.57
311,2.98
312,2.8
313,1.81
314,1.68
315,1.83
316,1.87
317,2.18
318,3.2
319,2.88
320,3.08
321,1.91
322,1.45
323,1.22
324,1.75
325,1.45
326,1.72
327,1.74
328,1.7
329,1.76
330,1.52
331,1.19
332,1.0
333,0.92
334,0.81
335,1.2
336,1.29
337,1.23
338,1.3
339,1.32
340,1.35
341,1.58
342,1.91
343,1.88
344,1.63
345,1.56
346,1.55
347,1.68
348,1.81
349,1.78
350,1.99
351,1.88
352,2.21
353,2.09
354,2.14
355,2.6
356,3.23
357,3.56
358,3.9
359,3.18
360,2.75
361,2.89
362,2.55
363,2.17
364,1.9
365,1.07
366,1.3
367,1.24
368,1.83
369,1.44
370,1.36
371,1.39
372,1.51
373,1.77
374,1.54
375,1.58
376,2.24
377,2.37
378,2.2
379,3.16
380,1.63
381,1.9
382,2.24
383,2.03
384,1.89
385,1.52
386,1.19
387,1.27
388,1.21
389,1.64
390,2.22
391,1.97
392,1.6
393,1.43
394,1.48
395,1.86
396,2.38
397,2.97
398,1.65
399,1.57
400,1.52
401,1.78
402,2.1
403,2.59
404,3.32
405,3.73
406,4.09
407,3.26
408,2.66
409,2.2
410,2.35
411,1.93
412,1.69
413,1.9
414,3.47
415,3.92
416,3.01
417,2.67
418,2.42
419,2.64
420,2.41
421,2.11
422,2.01
423,2.12
424,2.95
425,5.73
426,4.97
427,6.67
428,5.61
429,4.84
430,5.06
431,4.44
432,3.34
433,2.53
434,2.01
435,1.86
436,1.38
437,1.46
438,2.86
439,2.83
440,1.76
441,1.95
442,1.71
443,2.12
444,2.37
445,2.55
446,1.64
447,1.47
448,1.65
449,1.44
450,1.47
451,1.72
452,2.95
453,2.99
454,2.65
455,3.16
456,2.7
457,1.97
458,1.89
459,1.82
460,1.96
461,2.47
462,3.18
463,
464,2.1
465,1.75
466,2.07
467,2.2
468,2.07
469,1.96
470,1.77
471,1.7
472,2.4
473,3.88
474,5.1
475,3.9
476,4.39
477,2.96
478,2.57
479,2.2
480,2.5
481,2.31
482,2.24
483,2.46
484,2.44
485,2.97
486,3.82
487,4.05
488,3.24
489,2.36
490,2.08
491,1.24
492,1.94
493,1.39
494,1.42
495,1.55
496,1.51
497,1.27
498,1.15
499,1.32
500,1.41
501,1.42
502,1.23
503,1.23
504,1.16
505,1.11
506,1.12
507,1.11
508,1.13
509,1.2
510,1.26
511,1.41
512,1.58
513,1.49
514,1.59
515,1.53
516,1.62
517,1.66
518,1.64
519,1.71
520,1.96
521,2.14
522,2.19
523,3.53
524,4.57
525,4.74
526,3.19
527,0.96
528,0.73
529,0.74
530,0.73
531,0.83
532,0.75
533,0.94
534,1.49
535,1.81
536,1.14
537,1.04
538,1.08
539,1.09
540,1.03
541,1.11
542,0.92
543,0.83
544,0.89
545,1.25
546,1.26
547,1.54
548,1.45
549,1.44
550,1.33
551,1.67
552,1.44
553,1.27
554,1.22
555,1.24
556,1.33
557,1.57
558,2.03
559,2.47
560,2.63
561,2.75
562,2.26
563,1.99
564,1.89
565,1.86
566,1.66
567,1.36
568,1.72
569,1.75
570,2.34
571,2.44
572,2.25
573,2.31
574,3.15
575,3.44
576,3.01
577,2.47
578,2.22
579,2.14
580,1.99
581,1.83
582,1.64
583,1.73
584,1.57
585,1.39
586,1.34
587,1.4
588,1.43
589,1.6
590,1.93
591,1.83
592,1.59
593,1.65
594,1.81
595,3.22
596,3.53
597,3.43
598,4.22
599,3.53
600,3.13
601,2.65
602,2.54
603,2.33
604,2.21
605,2.57
606,3.68
607,2.25
608,1.86
609,2.04
610,2.29
611,2.22
612,1.79
613,1.55
614,1.34
615,1.33
616,1.87
617,2.11
618,2.92
619,4.36
620,5.4
621,5.79
622,4.83
623,3.28
624,1.97
625,2.38
626,1.7
627,1.82
628,2.17
629,2.72
630,3.89
631,3.9
632,2.52
633,1.88
634,2.54
635,2.09
636,2.04
637,2.21
638,1.9
639,1.59
640,2.28
641,2.91
642,2.11
643,1.21
644,0.66
645,1.14
646,0.92
647,1.58
648,1.4
649,1.4
650,1.2
651,1.39
652,1.45
653,1.83
654,3.01
655,2.91
656,1.79
657,1.68
658,1.87
659,1.45
660,1.52
661,1.38
662,1.42
663,1.63
664,1.56
665,1.5
666,1.51
667,1.65
668,1.71
669,1.43
670,1.32
671,1.16
672,1.14
673,1.08
674,1.01
675,0.97
676,0.96
677,0.99
678,1.2
679,1.07
680,1.15
681,
682,
683,
684,1.12
685,1.08
686,1.03
687,1.03
688,1.16
689,1.56
690,1.85
691,2.28
692,1.44
693,1.2
694,1.18
695,1.05
696,1.06
697,1.02
698,1.03
699,1.04
700,1.02
701,1.13
702,1.54
703,1.5
704,1.49
705,1.4
706,1.31
707,1.23
708,1.27
709,1.69
710,1.31
711,1.41
712,2.16
713,2.27
714,2.42
715,3.59
716,3.46
717,1.99
718,3.96
719,3.27
720,2.31
721,2.29
722,1.96
723,1.81
724,1.83
725,2.52
726,4.11
727,2.99
728,1.91
729,1.81
730,1.86
731,2.22
732,2.03
733,2.62
734,1.74
735,1.61
736,2.78
737,3.9
738,5.4
739,6.08
740,7.57
741,5.65
742,4.57
743,3.07
744,2.78
745,2.24
746,2.02
747,2.39
748,2.13
749,2.42
750,2.94
751,1.45
752,1.44
753,1.31
754,1.48
755,1.2
756,1.4
757,1.84
758,2.02
759,2.1
760,2.37
761,2.32
762,3.56
763,4.8
764,2.79
765,2.39
766,2.99
767,3.44
768,3.1
769,2.39
770,1.81
771,2.01
772,1.95
773,2.0
774,3.86
775,4.37
776,2.72
777,2.32
778,2.21
779,2.23
780,2.83
781,2.24
782,1.75
783,1.55
784,2.32
785,2.38
786,5.56
787,6.75
788,6.59
789,7.02
790,5.26
791,3.4
792,2.28
793,1.84
794,1.61
795,1.23
796,1.06
797,1.94
798,3.38
799,3.51
800,2.04
801,1.51
802,1.28
803,0.95
804,1.32
805,1.6
806,1.3
807,1.18
808,2.98
809,4.62
810,4.0
811,2.95
812,3.23
813,1.95
814,1.64
815,2.11
816,1.46
817,1.12
818,1.01
819,1.11
820,1.05
821,1.26
822,3.0
823,4.53
824,2.3
825,1.39
826,1.63
827,1.41
828,1.41
829,1.48
830,1.58
831,1.55
832,3.01
833,2.79
834,1.96
835,1.67
836,1.73
837,2.64
838,2.34
839,1.95
840,1.73
841,1.48
842,1.45
843,1.39
844,1.23
845,1.28
846,1.64
847,2.14
848,1.86
849,1.5
850,1.58
851,1.51
852,1.62
853,1.57
854,1.38
855,1.36
856,2.5
857,2.34
858,2.17
859,2.86
860,5.06
861,4.67
862,3.88
863,1.63
864,1.58
865,1.32
866,1.12
867,1.06
868,1.04
869,1.42
870,3.08
871,3.7
872,2.34
873,1.87
874,1.39
875,1.42
876,1.35
877,1.69
878,1.42
879,1.61
880,4.53
881,5.2
882,5.06
883,5.55
884,6.07
885,5.98
886,4.33
887,4.09
888,3.61
889,3.53
890,3.2
891,2.62
892,2.01
893,1.21
894,1.73
895,2.02
896,1.87
897,1.17
898,1.23
899,1.1
900,1.27
901,1.69
902,1.83
903,1.43
904,3.15
905,5.37
906,5.04
907,4.82
908,5.77
909,4.44
910,4.17
911,4.78
912,3.49
913,3.26
914,2.37
915,1.41
916,1.52
917,2.45
918,3.81
919,5.04
920,2.46
921,1.86
922,1.78
923,2.25
924,1.32
925,1.16
926,0.69
927,0.72
928,1.56
929,5.09
930,4.48
931,2.44
932,2.56
933,1.35
934,1.57
935,1.46
936,1.09
937,1.03
938,1.1
939,1.11
940,1.05
941,2.15
942,2.65
943,3.5
944,2.27
945,1.46
946,1.23
947,1.15
948,1.12
949,1.86
950,1.46
951,1.63
952,2.4
953,2.19
954,3.08
955,4.22
956,4.08
957,2.79
958,1.86
959,1.38
960,1.23
961,1.28
962,1.08
963,1.07
964,0.9
965,1.3
966,2.73
967,2.56
968,2.08
969,1.57
970,1.09
971,1.06
972,1.28
973,1.33
974,1.35
975,1.1
976,2.06
977,4.41
978,4.42
979,4.14
980,5.77
981,3.29
982,3.16
983,1.95
984,1.24
985,1.44
986,1.07
987,0.83
988,0.93
989,1.11
990,2.57
991,2.32
992,1.56
993,2.07
994,1.93
995,1.54
996,1.61
997,1.63
998,0.89
999,0.87
1000,1.34
1001,2.22
1002,2.61
1003,3.99
1004,5.25
1005,5.96
1006,3.94
1007,3.46
1008,2.63
1009,2.41
1010,2.36
1011,3.08
1012,3.38
1013,2.79
1014,2.39
1015,1.75
1016,1.82
1017,1.55
1018,1.45
1019,1.21
1020,1.28
1021,1.34
1022,1.54
1023,1.29
1024,2.06
1025,4.18
1026,4.62
1027,5.4
1028,7.28
1029,5.61
1030,3.57
1031,2.78
1032,2.43
1033,2.56
1034,2.72
1035,2.89
1036,2.74
1037,3.17
1038,3.23
1039,2.51
1040,1.91
1041,1.79
1042,1.74
1043,1.54
1044,1.77
1045,2.74
1046,1.57
1047,1.29
1048,2.48
1049,2.97
1050,5.49
1051,8.7
1052,8.14
1053,6.24
1054,4.82
1055,4.44
1056,4.16
