Index,MirzaTaher-PM2.5
0,19.28
1,19.5
2,17.88
3,14.23
4,11.31
5,9.99
6,9.75
7,11.04
8,11.86
9,10.55
10,12.19
11,12.89
12,10.4
13,8.43
14,10.21
15,14.08
16,14.91
17,20.23
18,31.5
19,36.44
20,31.7
21,23.94
22,19.81
23,16.35
24,14.8
25,16.19
26,15.79
27,13.0
28,11.04
29,12.74
30,12.28
31,12.68
32,12.49
33,9.25
34,9.93
35,12.81
36,13.88
37,18.47
38,19.11
39,17.42
40,17.82
41,14.83
42,11.71
43,9.41
44,9.18
45,10.95
46,11.14
47,9.12
48,10.34
49,17.2
50,18.15
51,12.97
52,10.17
53,8.19
54,6.71
55,6.96
56,7.97
57,7.94
58,16.78
59,22.91
60,17.77
61,13.5
62,14.26
63,16.74
64,16.9
65,15.68
66,15.34
67,21.11
68,21.89
69,18.84
70,16.38
71,12.84
72,10.38
73,8.12
74,6.91
75,8.74
76,9.21
77,6.88
78,8.19
79,12.42
80,15.18
81,19.86
82,20.88
83,19.44
84,18.95
85,15.07
86,11.53
87,12.81
88,14.72
89,16.57
90,15.76
91,14.84
92,13.89
93,17.02
94,30.61
95,40.92
96,43.69
97,41.99
98,36.25
99,33.43
100,31.81
101,28.28
102,24.89
103,25.7
104,29.39
105,30.89
106,33.15
107,31.5
108,31.75
109,38.88
110,36.61
111,28.43
112,24.69
113,21.35
114,18.82
115,19.9
116,20.26
117,22.42
118,33.29
119,41.8
120,45.08
121,50.02
122,42.92
123,33.85
124,28.18
125,23.52
126,23.6
127,28.02
128,32.98
129,30.35
130,23.19
131,20.54
132,21.63
133,21.53
134,20.52
135,21.65
136,24.97
137,25.1
138,23.57
139,23.21
140,26.16
141,31.08
142,32.03
143,28.84
144,27.86
145,35.11
146,37.61
147,36.95
148,38.39
149,42.17
150,43.7
151,42.15
152,44.35
153,43.25
154,38.02
155,30.12
156,29.43
157,30.62
158,31.25
159,29.87
160,24.13
161,19.46
162,16.37
163,18.93
164,22.08
165,21.84
166,23.88
167,26.88
168,24.24
169,23.73
170,27.27
171,24.55
172,21.65
173,20.0
174,15.66
175,15.59
176,18.45
177,18.25
178,18.05
179,15.96
180,14.72
181,17.4
182,19.43
183,18.34
184,16.86
185,17.36
186,18.27
187,20.24
188,24.11
189,26.67
190,29.37
191,27.5
192,25.74
193,36.88
194,48.67
195,55.68
196,62.27
197,64.98
198,66.85
199,70.59
200,70.24
201,56.19
202,36.16
203,23.85
204,17.2
205,12.55
206,11.12
207,9.7
208,10.75
209,14.31
210,14.38
211,16.52
212,23.92
213,23.77
214,20.45
215,22.84
216,21.95
217,16.94
218,12.55
219,10.09
220,10.86
221,10.28
222,12.32
223,17.58
224,16.64
225,15.3
226,16.0
227,13.7
228,10.44
229,10.07
230,10.09
231,8.28
232,6.52
233,6.87
234,8.52
235,8.59
236,7.28
237,5.99
238,6.15
239,6.04
240,4.98
241,4.22
242,12.81
243,18.68
244,15.9
245,12.75
246,10.04
247,10.56
248,10.13
249,10.96
250,12.59
251,13.59
252,16.78
253,26.74
254,28.63
255,29.58
256,29.04
257,24.93
258,22.42
259,22.24
260,20.79
261,16.89
262,14.82
263,12.54
264,11.8
265,12.76
266,11.46
267,11.68
268,15.69
269,17.23
270,19.42
271,22.35
272,26.77
273,34.16
274,37.5
275,34.02
276,29.54
277,25.77
278,25.74
279,23.3
280,22.01
281,20.41
282,15.84
283,14.42
284,17.19
285,18.31
286,16.69
287,27.6
288,40.07
289,48.94
290,50.85
291,51.65
292,55.12
293,51.68
294,51.33
295,58.74
296,59.33
297,71.01
298,90.58
299,94.28
300,96.11
301,96.82
302,83.02
303,66.18
304,57.66
305,52.35
306,49.87
307,49.78
308,48.77
309,50.39
310,61.2
311,71.05
312,75.82
313,80.67
314,78.26
315,73.94
316,71.16
317,69.09
318,69.14
319,72.01
320,77.79
321,79.88
322,71.07
323,60.07
324,52.2
325,45.07
326,40.83
327,45.54
328,50.68
329,51.04
330,50.04
331,44.72
332,38.07
333,32.03
334,27.77
335,24.54
336,21.53
337,22.23
338,21.43
339,23.1
340,27.69
341,29.62
342,33.32
343,37.42
344,41.95
345,46.59
346,47.89
347,51.19
348,53.23
349,55.27
350,53.26
351,51.1
352,52.86
353,53.85
354,50.45
355,44.19
356,42.42
357,48.04
358,52.58
359,56.52
360,65.52
361,79.58
362,87.68
363,86.1
364,91.29
365,92.46
366,76.92
367,56.5
368,46.73
369,46.16
370,48.1
371,44.73
372,43.38
373,45.13
374,40.81
375,35.03
376,31.51
377,33.86
378,36.75
379,34.21
380,32.02
381,28.49
382,26.14
383,26.35
384,27.69
385,33.82
386,39.13
387,41.66
388,43.48
389,46.41
390,52.47
391,55.95
392,62.69
393,64.73
394,59.66
395,55.09
396,51.91
397,55.58
398,54.82
399,51.45
400,45.15
401,39.38
402,35.07
403,33.78
404,35.82
405,39.82
406,45.99
407,60.88
408,73.12
409,76.71
410,75.46
411,75.02
412,71.14
413,66.03
414,66.55
415,71.32
416,72.89
417,79.92
418,86.03
419,82.87
420,82.19
421,83.02
422,79.52
423,73.45
424,71.28
425,70.33
426,74.78
427,89.41
428,101.51
429,105.12
430,105.38
431,104.83
432,109.37
433,117.85
434,121.87
435,123.8
436,123.81
437,111.93
438,98.3
439,92.26
440,86.78
441,79.01
442,75.58
443,75.69
444,76.2
445,81.0
446,82.09
447,78.13
448,71.96
449,62.68
450,58.14
451,57.93
452,54.15
453,47.64
454,53.37
455,67.03
456,78.23
457,85.52
458,86.44
459,86.23
460,86.56
461,83.38
462,80.75
463,89.34
464,92.4
465,85.34
466,77.3
467,71.6
468,65.21
469,57.61
470,52.04
471,46.35
472,41.64
473,42.4
474,47.59
475,60.49
476,69.08
477,69.87
478,58.43
479,49.7
480,78.25
481,90.26
482,76.4
483,69.01
484,66.1
485,70.98
486,73.86
487,77.38
488,81.95
489,83.15
490,72.75
491,51.18
