Index,MirzaTaher-SO2
0,7.47
1,6.99
2,6.36
3,6.36
4,5.94
5,6.18
6,7.13
7,9.07
8,10.52
9,10.08
10,9.06
11,19.98
12,14.24
13,18.82
14,24.41
15,27.97
16,27.53
17,26.72
18,22.25
19,17.19
20,13.59
21,11.1
22,8.91
23,9.16
24,8.11
25,7.75
26,7.12
27,7.08
28,6.42
29,5.2
30,5.07
31,5.07
32,5.02
33,5.24
34,5.23
35,8.68
36,8.78
37,8.69
38,8.51
39,8.04
40,7.98
41,8.71
42,8.69
43,8.22
44,7.72
45,7.57
46,7.75
47,5.72
48,5.17
49,5.24
50,5.18
51,5.23
52,4.87
53,5.03
54,5.15
55,5.29
56,5.4
57,6.16
58,7.14
59,8.94
60,9.21
61,9.82
62,9.48
63,9.99
64,11.56
65,11.22
66,12.55
67,10.88
68,10.1
69,9.51
70,9.45
71,7.31
72,7.17
73,7.01
74,6.82
75,6.39
76,5.75
77,6.18
78,7.48
79,7.33
80,7.14
81,7.63
82,8.99
83,18.03
84,54.86
85,52.59
86,60.19
87,36.0
88,21.84
89,16.78
90,12.98
91,12.89
92,14.61
93,16.51
94,16.1
95,11.07
96,10.12
97,8.01
98,6.3
99,5.36
100,4.14
101,3.82
102,5.06
103,5.46
104,4.11
105,5.02
106,8.13
107,12.68
108,20.94
109,23.21
110,22.18
111,20.51
112,16.84
113,14.41
114,13.06
115,10.9
116,9.92
117,11.99
118,12.55
119,8.2
120,7.17
121,4.94
122,3.7
123,3.29
124,3.04
125,4.21
126,6.56
127,6.23
128,4.95
129,5.83
130,6.9
131,14.42
132,16.43
133,20.06
134,16.44
135,15.35
136,14.28
137,13.44
138,14.1
139,13.21
140,13.82
141,12.82
142,11.93
143,10.39
144,9.69
145,9.55
146,9.34
147,9.45
148,9.09
149,9.78
150,10.09
151,10.59
152,9.38
153,8.82
154,12.03
155,18.39
156,49.51
157,69.73
158,47.1
159,41.1
160,39.57
161,31.01
162,23.2
163,17.38
164,11.5
165,7.74
166,7.36
167,7.55
168,7.06
169,6.39
