Index,Rehnan-CO
0,0.71
1,0.77
2,0.75
3,0.86
4,1.12
5,1.55
6,1.78
7,1.23
8,1.13
9,1.47
10,1.83
11,1.95
12,1.69
13,1.27
14,1.24
15,1.95
16,3.99
17,7.49
18,1.54
19,0.89
20,1.0
21,0.79
22,0.69
23,0.8
24,0.72
25,0.73
26,0.69
27,0.68
28,0.64
29,0.68
30,0.79
31,0.93
32,1.07
33,1.18
34,1.18
35,1.2
36,1.05
37,1.16
38,1.09
39,1.27
40,1.44
41,1.62
42,1.43
43,1.23
44,1.15
45,0.95
46,0.95
47,0.83
48,0.77
49,0.77
50,0.75
51,0.78
52,0.76
53,0.77
54,1.02
55,1.34
56,1.38
57,1.62
58,1.62
59,1.51
60,1.4
61,1.36
62,1.79
63,2.75
64,2.96
65,2.21
66,3.86
67,4.4
68,3.62
69,1.73
70,1.52
71,1.16
72,1.08
73,1.1
74,0.94
75,1.13
76,1.31
77,1.52
78,1.74
79,1.71
80,1.81
81,1.67
82,1.57
83,1.88
84,1.58
85,1.48
86,1.54
87,1.72
88,1.83
89,2.39
90,3.17
91,5.1
92,7.6
93,4.06
94,4.21
95,2.79
96,1.97
97,1.19
98,0.86
99,1.0
100,1.04
101,1.54
102,1.64
103,2.01
104,1.82
105,1.51
106,1.34
107,1.47
108,1.47
109,0.95
110,0.75
111,0.86
112,1.3
113,2.44
114,2.21
115,3.47
116,4.72
117,3.99
118,3.28
119,1.85
120,1.05
121,0.63
122,0.6
123,0.72
124,1.29
125,2.47
126,4.28
127,3.19
128,2.29
129,2.24
130,2.12
131,2.01
132,1.85
133,1.25
134,2.03
135,2.52
136,2.44
137,3.24
138,3.6
139,2.7
140,4.0
141,2.89
142,2.18
143,1.68
144,1.97
145,1.52
146,1.29
147,1.61
148,1.55
149,2.12
150,3.22
151,3.66
152,2.73
153,2.18
154,2.17
155,1.97
156,1.97
157,1.71
158,1.48
159,2.09
160,4.05
161,6.19
162,4.49
163,2.29
164,1.29
165,1.08
166,1.13
167,0.9
168,0.83
169,0.82
170,1.18
171,1.52
172,1.52
173,1.21
174,1.0
175,1.07
176,1.09
177,1.01
178,1.12
179,1.32
180,1.31
181,1.16
182,0.95
183,0.98
184,1.3
185,1.42
186,2.19
187,2.16
188,2.58
189,1.98
190,2.31
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,1.36
224,1.25
225,1.5
226,1.57
227,1.39
228,1.06
229,1.01
230,0.94
231,1.07
232,1.25
233,1.6
234,1.79
235,2.53
236,1.22
237,1.01
238,0.87
239,0.79
240,0.78
241,0.71
242,0.67
243,0.7
244,0.77
245,0.81
246,1.09
247,1.32
248,1.45
249,1.35
250,1.62
251,1.64
252,1.31
253,1.03
254,1.02
255,1.07
256,1.5
257,1.68
258,2.16
259,2.95
260,1.37
261,1.18
262,1.32
263,0.92
264,0.73
265,0.72
266,0.71
267,0.79
268,0.71
269,0.73
270,0.96
271,1.25
272,1.23
273,1.45
274,1.65
275,1.49
276,1.34
277,1.13
278,0.91
279,1.07
280,1.35
281,1.59
282,1.77
283,1.76
284,1.61
285,1.98
286,1.72
287,1.38
288,1.16
289,1.14
290,1.03
291,1.03
292,1.26
293,1.75
294,3.76
295,3.6
296,2.63
297,2.81
298,2.08
299,2.06
300,2.04
301,1.83
302,1.51
303,1.6
304,2.1
305,2.59
306,3.11
307,5.0
308,3.22
309,2.92
310,2.73
311,2.65
312,2.47
313,1.96
314,1.49
315,1.82
316,1.74
317,2.1
318,3.12
319,4.27
320,4.3
321,2.88
322,2.66
323,1.93
324,1.42
325,1.66
326,1.55
327,1.57
328,2.08
329,2.1
330,1.94
331,1.58
332,1.32
333,0.95
334,0.95
335,1.81
336,1.41
337,0.98
338,0.88
339,1.05
340,1.05
341,1.18
342,1.53
343,1.43
344,1.81
345,1.93
346,1.51
347,1.57
348,1.48
349,1.33
350,1.46
351,1.45
352,1.62
353,2.35
354,2.62
355,3.18
356,5.4
357,4.39
358,3.4
359,1.9
360,1.53
361,1.32
362,1.26
363,1.2
364,1.15
365,0.75
366,1.44
367,1.74
368,2.67
369,2.1
370,2.05
371,1.97
372,1.46
373,1.26
374,0.87
375,1.28
376,1.98
377,2.68
378,2.95
379,1.54
380,2.06
381,2.33
382,1.24
383,1.74
384,1.17
385,0.87
386,0.78
387,0.84
388,0.7
389,1.05
390,1.13
391,1.31
392,1.37
393,1.43
394,1.69
395,1.8
396,1.75
397,1.68
398,1.56
399,1.63
400,1.96
401,3.66
402,4.92
403,5.4
404,4.37
405,3.34
406,3.46
407,1.66
408,1.66
409,1.7
410,1.56
411,1.26
412,1.36
413,1.8
414,4.17
415,4.58
416,3.96
417,2.62
418,2.81
419,3.11
420,2.69
421,1.89
422,1.61
423,1.89
424,2.68
425,5.83
426,7.49
427,7.4
428,6.32
429,5.72
430,4.7
431,2.66
432,1.86
433,1.48
434,1.33
435,1.17
436,1.25
437,2.1
438,2.87
439,2.34
440,2.36
441,2.38
442,2.21
443,1.89
444,2.4
445,2.18
446,1.83
447,1.4
448,1.69
449,2.47
450,2.77
451,3.52
452,4.13
453,3.0
454,2.23
455,2.0
456,1.35
457,1.55
458,1.34
459,1.53
460,1.79
461,2.77
462,2.4
463,2.69
464,2.02
465,1.35
466,1.45
467,1.54
468,1.26
469,1.12
470,1.13
471,1.27
472,2.56
473,5.98
474,5.96
475,5.69
476,4.23
477,3.24
478,3.44
479,3.17
480,2.29
481,2.17
482,2.24
483,1.71
484,1.88
485,2.87
486,4.38
487,4.22
488,2.54
489,2.26
490,2.17
491,1.78
492,1.59
493,1.25
494,1.16
495,1.25
496,1.55
497,1.88
498,1.59
499,1.4
500,1.41
501,1.52
502,1.06
503,1.03
504,0.86
505,0.76
506,0.75
507,0.72
508,0.88
509,0.92
510,1.1
511,1.32
512,1.67
513,2.01
514,2.28
515,2.4
516,1.56
517,1.3
518,1.17
519,1.34
520,1.63
521,2.24
522,2.22
523,3.72
524,3.01
525,1.8
526,1.28
527,0.84
528,0.69
529,0.68
530,0.67
531,0.69
532,0.69
533,0.9
534,2.38
535,2.19
536,1.17
537,1.12
538,1.1
539,1.33
540,1.45
541,1.09
542,0.75
543,0.87
544,1.32
545,1.91
546,1.42
547,2.06
548,2.1
549,1.85
550,1.62
551,1.7
552,1.09
553,0.85
554,1.0
555,1.15
556,0.99
557,1.16
558,1.92
559,2.01
560,1.79
561,2.5
562,2.8
563,1.8
564,1.71
565,1.77
566,1.4
567,1.55
568,2.19
569,2.71
570,2.37
571,3.59
572,4.81
573,3.97
574,3.37
575,4.35
576,3.45
577,2.41
578,1.44
579,1.28
580,1.59
581,1.81
582,1.97
583,2.18
584,2.33
585,2.14
586,2.04
587,1.93
588,1.8
589,1.68
590,1.23
591,1.78
592,1.76
593,1.93
594,3.18
595,4.83
596,4.95
597,4.27
598,3.8
599,2.7
600,2.26
601,2.32
602,2.49
603,2.43
604,2.01
605,1.73
606,3.06
607,2.84
608,2.71
609,2.34
610,2.15
611,2.56
612,2.4
613,1.91
614,1.66
615,1.64
616,1.96
617,2.34
618,4.48
619,4.67
620,4.88
621,4.63
622,4.16
623,2.41
624,1.83
625,1.94
626,1.93
627,2.37
628,2.74
629,2.75
630,3.79
631,4.34
632,3.31
633,2.98
634,3.05
635,3.33
636,2.41
637,1.94
638,1.61
639,1.92
640,2.94
641,4.22
642,3.68
643,2.77
644,2.12
645,1.66
646,1.86
647,1.24
648,1.07
649,0.99
650,0.98
651,1.22
652,1.31
653,1.65
654,2.84
655,3.18
656,2.66
657,2.31
658,2.79
659,2.03
660,1.57
661,1.42
662,1.13
663,1.32
664,1.49
665,2.01
666,2.61
667,2.62
668,2.11
669,1.44
670,1.68
671,1.13
672,0.86
673,0.65
674,0.61
675,0.52
676,0.58
677,0.69
678,0.79
679,0.89
680,0.95
681,1.13
682,1.3
683,1.32
684,1.06
685,0.83
686,0.8
687,0.87
688,1.12
689,1.36
690,1.69
691,1.5
692,0.93
693,0.86
694,0.62
695,0.74
696,0.68
697,0.66
698,0.6
699,0.56
700,0.56
701,0.71
702,1.5
703,1.6
704,1.7
705,1.66
706,1.99
707,1.91
708,2.11
709,1.73
710,1.65
711,1.64
712,3.13
713,3.24
714,2.67
715,3.31
716,2.95
717,4.68
718,3.0
719,2.02
720,1.54
721,1.01
722,0.9
723,1.19
724,1.73
725,1.61
726,2.37
727,2.98
728,2.34
729,1.91
730,2.71
731,2.3
732,1.97
733,1.89
734,1.55
735,1.95
736,3.19
737,5.45
738,4.91
739,5.16
740,5.71
741,4.47
742,3.04
743,1.71
744,1.57
745,1.16
746,2.39
747,2.48
748,2.76
749,2.41
750,1.5
751,1.37
752,1.45
753,2.31
754,2.42
755,2.57
756,2.24
757,2.8
758,2.49
759,2.78
760,2.91
761,3.56
762,4.54
763,4.49
764,3.71
765,3.88
