Index,Rehnan-PM2.5
0,17.4
1,13.45
2,10.19
3,7.74
4,5.92
5,4.48
6,6.92
7,14.36
8,13.15
9,11.27
10,10.48
11,15.04
12,20.87
13,21.13
14,21.53
15,18.96
16,15.49
17,28.88
18,31.36
19,29.81
20,23.12
21,21.17
22,16.78
23,14.27
24,16.76
25,14.62
26,13.9
27,16.27
28,19.86
29,16.27
30,11.97
31,12.5
32,14.91
33,12.53
34,10.92
35,10.57
36,9.62
37,11.27
38,10.85
39,14.75
40,17.45
41,16.35
42,13.09
43,18.11
44,16.04
45,13.16
46,15.72
47,13.21
48,14.91
49,12.32
50,8.75
51,6.57
52,5.63
53,9.97
54,9.32
55,8.14
56,12.3
57,11.9
58,10.82
59,15.32
60,13.94
61,14.5
62,14.84
63,15.74
64,20.95
65,18.74
66,19.93
67,21.22
68,22.45
69,18.27
70,15.68
71,15.05
72,15.43
73,12.26
74,9.39
75,11.02
76,11.08
77,14.62
78,20.3
79,18.99
80,24.22
81,26.04
82,28.42
83,24.95
84,22.34
85,19.42
86,16.3
87,12.94
88,22.13
89,25.83
90,30.13
91,30.37
92,37.27
93,48.21
94,54.59
95,59.38
96,49.54
97,48.25
98,41.24
99,34.45
100,34.45
101,28.23
102,27.44
103,32.42
104,31.61
105,37.3
106,40.26
107,32.39
108,33.9
109,41.29
110,36.3
111,26.47
112,21.16
113,16.38
114,19.45
115,20.76
116,22.84
117,23.8
118,30.36
119,33.6
120,38.26
121,34.2
122,29.8
123,25.65
124,22.7
125,20.99
126,25.85
127,31.85
128,36.54
129,33.35
130,31.35
131,25.65
132,24.23
133,27.7
134,25.46
135,23.82
136,21.37
137,21.33
138,28.71
139,24.27
140,29.28
141,27.15
142,24.72
143,25.56
144,24.87
145,35.64
146,54.64
147,59.09
148,61.45
149,61.77
150,65.21
151,60.87
152,58.33
153,56.28
154,52.13
155,42.63
156,43.32
157,46.59
158,43.07
159,39.86
160,38.06
161,33.29
162,34.6
163,32.28
164,31.03
165,29.87
166,33.74
167,32.2
168,29.19
169,29.86
170,24.84
171,22.38
172,23.63
173,28.38
174,29.42
175,24.2
176,20.57
177,20.45
178,22.64
179,21.83
180,17.25
181,19.2
182,21.53
183,24.34
184,22.94
185,26.8
186,27.24
187,30.2
188,25.66
189,25.83
190,32.88
191,35.96
192,45.74
193,48.01
194,45.86
195,54.25
196,68.02
197,67.95
198,69.27
199,67.95
200,68.12
201,85.33
202,73.0
203,57.92
204,45.73
205,38.5
206,29.29
207,27.21
208,30.87
209,25.98
210,22.63
211,23.13
212,26.74
213,27.13
214,21.18
215,23.2
216,19.05
217,14.9
218,15.47
219,12.71
220,12.8
221,11.2
222,12.83
223,12.4
224,13.96
225,11.61
226,8.78
227,15.99
228,14.78
229,12.79
230,9.98
231,7.55
232,12.15
233,10.86
234,8.32
235,8.65
236,10.46
237,13.16
238,11.81
239,8.87
240,9.84
241,8.64
242,10.75
243,10.42
244,7.91
245,6.55
246,5.38
247,5.12
248,7.88
249,7.06
250,6.45
251,8.61
252,24.25
253,22.8
254,18.28
255,19.78
256,20.5
257,16.04
258,21.89
259,20.22
260,24.37
261,20.68
262,22.82
263,19.18
264,15.28
265,15.64
266,15.99
267,18.97
268,25.38
269,29.26
270,23.45
271,18.65
272,25.39
273,30.56
274,37.7
275,37.76
276,39.35
277,35.83
278,30.12
279,22.87
280,19.57
281,24.44
282,24.1
283,20.79
284,22.65
285,19.66
286,23.3
287,30.43
288,48.77
289,55.91
290,59.36
291,53.82
292,52.8
293,52.18
294,51.44
295,68.62
296,92.14
297,120.27
298,130.37
299,133.67
300,115.47
301,115.41
302,98.78
303,74.16
304,66.51
305,64.25
306,65.79
307,62.32
308,63.79
309,73.32
310,79.24
311,80.74
312,79.62
313,77.99
314,77.39
315,78.82
316,78.55
317,76.88
318,76.51
319,79.25
320,88.35
321,96.99
322,95.96
323,89.82
324,78.49
325,56.65
326,47.17
327,53.13
328,61.81
329,65.84
330,65.6
331,62.19
332,47.28
333,41.33
334,40.18
335,34.94
336,32.24
337,33.97
338,35.75
339,40.99
340,48.56
341,51.62
342,47.54
343,49.22
344,49.42
345,55.51
346,62.28
347,65.15
348,60.73
349,58.57
350,54.06
351,57.48
352,58.53
353,57.55
354,57.57
355,58.03
356,59.46
357,62.69
358,67.2
359,73.52
360,81.7
361,74.63
362,78.36
363,85.71
364,81.57
365,70.27
366,59.71
367,47.6
368,45.44
369,49.15
370,59.3
371,60.91
372,61.46
373,55.59
374,45.57
375,39.76
376,36.97
377,45.23
378,46.21
379,43.1
380,32.7
381,29.32
382,25.78
383,26.91
384,33.11
385,38.58
386,43.15
387,48.48
388,49.32
389,51.05
390,52.02
391,55.64
392,62.65
393,65.68
394,66.71
395,71.5
396,66.38
397,62.48
398,57.93
399,57.38
400,60.24
401,57.15
402,61.49
403,80.01
404,88.71
405,86.85
406,87.01
407,84.33
408,88.62
409,84.14
410,83.64
411,76.79
412,70.49
413,65.75
414,66.97
415,75.7
416,94.85
417,101.45
418,101.25
419,99.6
420,96.8
421,94.49
422,92.38
423,83.2
424,85.37
425,80.61
426,95.03
427,108.54
428,109.05
429,117.74
430,130.75
431,135.26
432,132.68
433,123.17
434,115.82
435,110.2
436,88.94
437,82.3
438,76.12
439,83.37
440,81.48
441,87.15
442,94.6
443,94.81
444,93.36
445,89.35
446,86.89
447,86.24
448,83.18
449,81.3
450,79.14
451,75.61
452,69.18
453,67.96
454,76.85
455,84.08
456,86.8
457,83.18
458,81.58
459,81.26
460,81.65
461,83.6
462,90.0
463,92.3
464,91.43
465,88.77
466,79.96
467,72.95
468,64.28
469,53.61
470,42.3
471,36.31
472,35.97
473,42.46
474,58.83
475,66.51
476,69.19
477,66.51
478,64.89
479,61.88
480,60.9
481,55.82
482,54.04
483,63.56
484,73.83
485,81.82
486,88.18
487,91.89
488,100.84
489,106.15
490,96.65
491,75.43
492,59.03
493,47.73
494,36.5
495,31.11
496,28.45
497,27.67
498,21.82
499,15.45
500,18.02
501,15.45
502,12.8
503,9.84
504,8.07
505,6.64
506,10.92
507,10.24
508,7.73
509,5.86
510,9.66
511,8.63
512,8.8
513,7.52
514,16.57
515,22.02
516,19.28
517,26.68
518,25.14
519,23.54
520,24.32
521,23.61
522,26.55
523,28.6
524,33.36
525,33.97
526,37.44
527,34.74
528,26.04
529,23.97
530,18.76
531,13.45
532,10.1
533,10.48
534,9.13
535,9.6
536,11.86
537,10.03
538,9.66
539,15.79
540,14.46
541,11.94
542,12.01
543,11.03
544,10.25
545,12.28
546,11.38
547,10.38
548,10.43
549,14.9
550,14.82
551,11.12
552,13.82
553,12.66
554,11.64
555,14.8
556,14.73
557,18.37
558,21.19
559,20.75
560,22.14
561,26.39
562,32.17
563,39.72
564,44.82
565,40.45
566,37.83
567,30.86
568,34.07
569,31.89
570,36.41
571,30.5
572,35.46
573,46.33
574,54.36
575,58.41
576,60.04
577,59.71
578,54.56
579,50.95
580,45.59
581,48.0
582,46.91
583,36.63
584,35.05
585,36.67
586,33.65
587,32.7
588,32.62
589,30.99
590,29.79
591,26.16
592,31.48
593,44.3
594,48.44
595,58.23
596,79.17
597,90.95
598,95.88
599,91.68
600,81.81
601,74.99
602,76.02
603,77.96
604,74.68
605,67.21
606,55.31
607,54.66
608,47.35
609,50.94
610,54.83
611,63.26
612,72.07
613,76.54
614,75.0
615,79.45
616,81.55
617,75.65
618,78.41
619,85.65
620,86.93
621,91.64
622,96.03
623,101.2
624,99.82
625,93.82
626,94.32
627,91.01
628,88.3
629,89.18
630,82.24
631,80.02
632,84.3
633,89.86
634,95.2
635,104.58
636,127.55
637,129.74
638,116.81
639,98.52
640,93.01
641,93.85
642,94.72
643,77.4
644,50.93
645,39.0
646,38.23
647,29.98
648,22.73
649,19.18
650,14.58
651,11.48
652,18.88
653,16.72
654,18.57
655,18.0
656,15.65
657,20.11
658,52.95
659,56.11
660,44.23
661,40.73
662,31.46
663,22.61
664,17.92
665,17.73
666,14.05
667,16.26
668,13.8
669,16.23
670,16.28
671,19.4
672,16.43
673,13.39
674,10.35
675,9.09
676,15.05
677,13.82
678,10.4
679,7.84
680,5.62
681,3.93
682,2.78
683,8.24
684,8.12
685,5.79
686,4.05
687,2.84
688,1.99
689,1.39
690,4.74
691,4.54
692,3.18
693,2.22
694,1.91
695,2.1
696,2.07
697,2.8
698,6.62
699,6.27
700,4.48
701,3.54
702,2.61
703,2.72
704,2.45
705,1.8
706,1.46
707,5.13
708,14.68
709,14.44
710,15.59
711,12.58
712,8.81
713,10.73
714,12.55
715,17.13
716,24.36
717,27.25
718,52.31
719,80.42
720,89.54
721,79.14
722,66.29
723,59.16
724,48.07
725,45.91
726,44.06
727,39.11
728,41.96
729,48.62
730,40.8
731,44.97
732,54.68
733,57.97
734,58.96
735,59.56
736,61.4
737,85.41
738,102.45
739,106.84
740,112.15
741,113.62
742,114.74
743,111.45
744,89.6
745,78.28
746,68.89
747,73.04
748,80.75
749,82.31
750,85.54
751,80.28
752,64.66
753,44.4
754,36.11
755,39.32
756,46.77
757,55.46
758,59.77
759,64.41
760,71.72
761,79.1
762,89.76
763,110.7
764,118.68
765,125.65
766,143.81
767,154.44
768,136.39
769,118.65
770,106.64
771,95.05
772,75.09
773,69.92
774,79.01
775,86.5
776,92.5
777,104.39
778,96.72
779,98.81
780,94.6
781,86.11
782,85.3
783,85.64
784,91.46
785,87.71
786,82.45
787,83.06
788,94.34
789,102.17
790,111.6
791,109.98
792,110.64
793,93.73
794,88.62
795,74.3
796,67.03
797,65.79
798,65.39
799,70.3
800,72.41
801,80.07
802,83.19
803,88.58
804,79.36
805,79.2
806,75.65
807,78.97
808,77.48
809,79.89
810,69.7
811,65.88
812,76.79
813,90.16
814,75.1
815,55.72
816,45.45
817,38.73
818,32.19
819,24.56
820,28.22
821,24.64
822,26.86
823,39.58
824,48.17
825,57.36
826,58.62
827,59.31
828,55.34
829,55.77
830,42.8
831,40.01
832,38.26
833,39.83
834,40.68
835,37.53
836,39.93
837,47.09
838,53.5
839,57.11
840,51.35
841,57.59
842,51.86
843,38.25
844,31.33
845,32.32
846,28.66
847,28.19
848,32.68
849,35.41
850,31.13
851,35.54
852,43.4
853,39.56
854,38.92
855,36.16
856,36.17
857,38.37
858,44.16
859,42.45
