Index,Rehnan-SO2
0,2.14
1,1.95
2,1.9
3,1.81
4,1.79
5,1.95
6,2.36
7,3.44
8,3.08
9,2.59
10,2.58
11,2.78
12,1.66
13,1.21
14,1.08
15,1.64
16,3.41
17,5.74
18,3.07
19,2.16
20,2.01
21,1.9
22,1.78
23,2.69
24,2.61
25,2.74
26,2.65
27,2.78
28,2.54
29,2.21
30,2.13
31,2.18
32,2.22
33,2.3
34,2.3
35,1.74
36,1.86
37,1.9
38,1.84
39,1.86
40,1.93
41,1.98
42,1.99
43,1.83
44,1.79
45,1.73
46,1.6
47,1.38
48,1.38
49,1.33
50,1.25
51,1.33
52,1.3
53,1.26
54,1.33
55,1.35
56,1.43
57,1.68
58,1.92
59,1.91
60,1.94
61,2.02
62,2.12
63,2.46
64,2.77
65,2.25
66,2.97
67,3.57
68,3.34
69,2.39
70,1.92
71,1.34
72,1.41
73,1.4
74,1.28
75,1.32
76,1.19
77,1.47
78,1.56
79,1.61
80,1.85
81,2.76
82,3.41
83,4.32
84,5.12
85,4.38
86,4.98
87,4.52
88,2.23
89,2.15
90,2.66
91,4.39
92,6.04
93,4.75
94,4.17
95,1.75
96,1.33
97,0.56
98,
99,
100,
101,
102,
103,0.29
104,1.03
105,1.89
106,2.07
107,3.61
108,3.72
109,2.74
110,2.12
111,1.93
112,1.94
113,2.41
114,2.37
115,2.79
116,3.72
117,3.59
118,3.51
119,2.14
120,1.79
121,1.25
122,1.2
123,1.16
124,1.38
125,2.12
126,3.08
127,2.88
128,2.37
129,2.64
130,2.75
131,2.53
132,2.46
133,2.21
134,
135,
136,
137,1.96
138,2.29
139,2.02
140,2.55
141,2.11
142,1.67
143,1.91
144,2.32
145,2.11
146,2.1
147,2.05
148,2.01
149,2.35
150,2.85
151,3.1
152,2.8
153,3.27
154,6.82
155,7.92
156,7.03
157,7.16
158,4.29
159,3.52
160,4.02
161,4.77
162,4.11
163,3.11
164,2.07
165,1.63
166,1.58
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,1.71
224,1.5
225,1.5
226,1.49
227,1.31
228,1.44
229,1.25
230,1.28
231,1.49
232,1.51
233,1.67
234,1.83
235,2.54
236,1.81
237,1.4
238,1.31
239,1.18
240,1.24
241,1.14
242,0.94
243,0.93
244,0.84
245,0.75
246,0.91
247,0.91
248,1.1
249,1.25
250,2.18
251,4.98
252,4.4
253,2.76
254,2.58
255,2.27
256,2.11
257,2.24
258,2.55
259,2.86
260,2.13
261,1.8
262,1.64
263,1.07
264,0.93
265,0.91
266,0.78
267,0.66
268,0.51
269,0.52
270,0.49
271,0.62
272,0.79
273,1.03
274,1.33
275,2.82
276,3.5
277,3.5
278,2.77
279,2.13
280,2.31
281,2.23
