Index,Veldan-CO
0,
1,
2,
3,0.25
4,
5,
6,
7,
8,
9,
10,
11,0.19
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,0.23
36,
37,
38,
39,
40,
41,
42,0.4
43,0.33
44,0.29
45,0.23
46,0.22
47,0.2
48,0.16
49,0.15
50,0.14
51,0.12
52,0.11
53,0.12
54,0.16
55,0.23
56,0.34
57,0.44
58,0.47
59,0.56
60,0.63
61,0.69
62,0.87
63,1.04
64,1.15
65,1.04
66,1.27
67,1.77
68,1.47
69,0.82
70,0.69
71,0.59
72,0.52
73,0.43
74,0.37
75,0.42
76,0.46
77,0.52
78,0.67
79,0.86
80,0.85
81,0.79
82,0.69
83,0.63
84,0.52
85,0.46
86,0.48
87,0.86
88,0.64
89,0.97
90,1.6
91,2.39
92,3.0
93,2.8
94,2.59
95,2.33
96,2.01
97,1.42
98,0.94
99,0.67
100,0.49
101,0.52
102,0.97
103,4.34
104,1.57
105,1.24
106,1.07
107,1.2
108,1.11
109,0.84
110,0.66
111,0.57
112,0.65
113,1.11
114,0.97
115,1.29
116,1.82
117,2.2
118,2.27
119,2.07
120,1.36
121,0.83
122,0.64
123,0.5
124,0.39
125,0.43
126,1.22
127,1.24
128,1.07
129,0.87
130,0.7
131,0.8
132,0.87
133,0.8
134,0.83
135,0.83
136,1.1
137,1.28
138,1.87
139,1.61
140,1.86
141,1.73
142,1.5
143,1.33
144,1.21
145,1.2
146,1.03
147,0.93
148,0.89
149,0.95
150,1.54
151,1.48
152,1.3
153,0.98
154,0.86
155,1.2
156,1.3
157,1.1
158,0.99
159,0.85
160,0.78
161,0.86
162,1.01
163,0.89
164,0.54
165,0.53
166,0.41
167,0.28
168,0.26
169,0.23
170,0.21
171,0.19
172,0.28
173,0.33
174,0.27
175,0.26
176,0.25
177,0.26
178,0.25
179,0.33
180,0.38
181,0.35
182,0.31
183,0.31
184,0.38
185,0.53
186,1.15
187,1.26
188,1.42
189,1.64
190,1.4
191,1.11
192,0.88
193,0.77
194,0.73
195,0.68
196,0.54
197,0.5
198,12.35
199,2.63
200,2.31
201,1.66
202,1.3
203,0.99
204,0.78
205,0.6
206,0.48
207,0.4
208,0.43
209,0.83
210,0.97
211,1.7
212,1.03
213,0.73
214,0.57
215,0.43
216,0.33
217,0.24
218,0.2
219,0.17
220,0.15
221,0.13
222,0.18
223,0.21
224,0.23
225,0.29
226,0.3
227,0.27
228,0.26
229,0.28
230,0.3
231,0.55
232,0.43
233,0.52
234,0.63
235,0.82
236,0.62
237,0.5
238,0.38
239,0.33
240,0.26
241,0.23
242,0.17
243,0.13
244,0.11
245,0.15
246,0.35
247,0.73
248,0.38
249,0.42
250,0.42
251,0.43
252,0.44
253,0.44
254,0.45
255,0.48
256,0.66
257,1.0
