Index,Veldan-NO
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,1.64
43,2.17
44,2.55
45,2.33
46,2.35
47,2.42
48,2.11
49,2.12
50,2.33
51,2.35
52,2.29
53,2.39
54,2.74
55,3.69
56,6.96
57,12.14
58,12.95
59,14.32
60,16.05
61,19.29
62,25.22
63,33.94
64,37.63
65,34.41
66,45.78
67,54.61
68,41.99
69,19.69
70,16.87
71,14.47
72,12.16
73,9.43
74,7.65
75,8.34
76,10.0
77,12.81
78,27.24
79,32.23
80,33.71
81,27.83
82,21.59
83,15.12
84,10.48
85,8.01
86,6.91
87,8.85
88,9.5
89,19.86
90,44.88
91,76.25
92,101.81
93,100.08
94,103.34
95,96.86
96,85.95
97,62.53
98,38.18
99,24.97
100,18.52
101,18.62
102,26.4
103,47.39
104,36.71
105,28.89
106,24.05
107,22.37
108,18.93
109,13.91
110,10.86
111,8.34
112,8.84
113,23.68
114,19.84
115,27.62
116,48.95
117,63.53
118,74.92
119,74.42
120,51.32
121,29.28
122,21.45
123,17.16
124,13.52
125,14.83
126,33.21
127,40.87
128,33.12
129,21.68
130,16.42
131,15.32
132,14.36
133,15.34
134,14.8
135,17.43
136,28.72
137,43.54
138,64.33
139,56.35
140,62.37
141,50.91
142,42.45
143,39.45
144,38.75
145,48.64
146,41.33
147,37.34
148,37.07
149,40.96
150,53.76
151,49.61
152,43.17
153,33.47
154,26.41
155,30.16
156,27.27
157,21.93
158,18.1
159,14.62
160,12.02
161,14.93
162,18.12
163,17.76
164,10.6
165,9.1
166,6.05
167,3.51
168,2.8
169,2.52
170,2.48
171,2.67
172,7.57
173,9.08
174,6.66
175,8.05
176,8.44
177,8.13
178,6.92
179,6.05
180,5.79
181,5.3
182,4.46
183,3.55
184,3.09
185,3.51
186,17.98
187,23.27
188,29.13
189,43.33
190,45.28
191,31.96
192,24.38
193,20.86
194,21.54
195,17.84
196,16.1
197,13.83
198,24.64
199,30.65
200,35.35
201,19.91
202,14.88
203,10.25
204,7.22
205,5.64
206,4.64
207,3.77
208,3.42
209,13.93
210,23.11
211,38.46
212,21.8
213,13.08
214,8.73
215,5.69
216,3.63
217,2.56
218,2.3
219,2.08
220,2.04
221,1.87
222,2.11
223,2.94
224,3.44
225,4.35
226,4.01
227,4.01
228,3.87
229,5.72
230,6.49
231,7.78
232,8.91
233,12.28
234,14.43
235,23.93
236,16.46
237,11.79
238,9.28
239,6.33
240,4.81
241,4.37
242,3.5
243,2.73
244,2.21
245,2.43
246,5.21
247,9.83
248,8.93
249,10.53
250,9.72
251,7.67
252,7.77
253,9.37
254,9.18
255,8.71
256,13.15
257,26.67
258,20.59
