Index,Veldan-NO2
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,15.39
43,10.99
44,8.32
45,6.29
46,6.73
47,6.63
48,5.37
49,5.44
50,5.32
51,5.2
52,5.05
53,5.4
54,6.33
55,7.21
56,8.93
57,8.65
58,7.87
59,8.24
60,8.06
61,8.59
62,10.44
63,9.47
64,8.49
65,7.51
66,6.66
67,4.13
68,8.67
69,9.01
70,9.51
71,11.51
72,9.22
73,9.5
74,8.58
75,11.02
76,10.86
77,9.54
78,6.97
79,6.4
80,6.78
81,7.86
82,8.15
83,10.7
84,9.07
85,8.5
86,9.82
87,14.2
88,15.76
89,15.23
90,11.99
91,4.8
92,
93,
94,
95,
96,
97,2.1
98,5.73
99,7.1
100,7.91
101,7.39
102,5.53
103,7.29
104,10.86
105,10.41
106,12.0
107,14.39
108,15.85
109,12.05
110,10.59
111,11.71
112,13.88
113,12.49
114,13.81
115,13.36
116,7.96
117,4.74
118,2.83
119,3.13
120,5.05
121,5.16
122,5.34
123,7.19
124,7.2
125,6.7
126,5.66
127,10.05
128,10.66
129,12.18
130,10.72
131,12.84
132,13.26
133,13.38
134,14.28
135,13.31
136,12.61
137,10.06
138,5.18
139,6.07
140,4.09
141,6.51
142,7.33
143,5.25
144,4.82
145,3.54
146,5.83
147,5.61
148,4.45
149,3.43
150,3.59
151,6.09
152,8.06
153,7.59
154,7.52
155,14.47
156,18.18
157,14.3
158,14.96
159,13.36
160,12.01
161,12.55
162,12.01
163,13.12
164,10.26
165,9.58
166,8.7
167,8.19
168,7.14
169,6.64
170,7.23
171,7.06
172,9.66
173,8.28
174,6.75
175,6.28
176,5.54
177,5.4
178,5.62
179,7.5
180,8.84
181,8.03
182,7.59
183,8.5
184,10.39
185,12.42
186,13.28
187,10.78
188,10.4
189,9.52
190,9.1
191,10.23
192,10.9
193,10.85
194,9.35
195,9.52
196,7.51
197,9.49
198,9.97
199,10.54
200,8.78
201,7.45
202,6.83
203,6.71
204,6.77
205,7.46
206,7.87
207,8.58
208,11.25
209,12.91
210,11.28
211,9.16
212,11.14
213,10.19
214,10.7
215,8.22
216,7.2
217,6.5
218,6.19
219,5.64
220,5.57
221,5.46
222,7.13
223,7.12
224,7.45
225,8.04
226,7.54
227,6.56
228,6.67
229,7.66
230,8.3
231,8.23
232,9.23
233,10.09
234,11.0
235,10.14
236,8.37
237,7.61
238,5.98
239,6.34
240,7.27
241,7.02
242,5.41
243,4.92
244,4.97
245,6.84
246,7.97
247,8.45
248,8.18
249,8.46
250,7.32
251,7.13
252,7.85
253,8.88
254,9.99
255,11.18
256,12.92
257,10.79
258,12.9
259,10.97
260,11.28
