Index,Veldan-PM2.5
0,
1,
2,
3,49.0
4,
5,
6,
7,
8,
9,
10,
11,24.0
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,17.0
36,
37,
38,
39,
40,
41,
42,13.0
43,13.0
44,16.0
45,16.0
46,12.0
47,14.0
48,13.0
49,12.0
50,11.0
51,12.0
52,10.0
53,9.0
54,13.0
55,20.0
56,19.0
57,17.0
58,15.0
59,
60,
61,23.0
62,33.0
63,31.0
64,28.0
65,25.0
66,25.0
67,39.0
68,28.0
69,9.0
70,9.0
71,10.0
72,9.0
73,11.0
74,14.0
75,19.0
76,26.0
77,27.0
78,46.0
79,28.0
80,36.0
81,42.0
82,29.0
83,28.0
84,18.0
85,18.0
86,16.0
87,40.0
88,47.0
89,33.0
90,44.0
91,60.0
92,72.0
93,77.0
94,71.0
95,66.0
96,45.0
97,33.0
98,25.0
99,24.0
100,27.0
101,30.0
102,31.0
103,51.0
104,56.0
105,44.0
106,47.0
107,71.0
108,86.0
109,47.0
110,31.0
111,25.0
112,31.0
113,38.0
114,25.0
115,22.0
116,44.0
117,50.0
118,71.0
119,96.0
120,42.0
121,27.0
122,27.0
123,39.0
124,27.0
125,27.0
126,43.0
127,56.0
128,47.0
129,35.0
130,29.0
131,36.0
132,33.0
133,38.0
134,48.0
135,35.0
136,36.0
137,36.0
138,37.0
139,32.0
140,59.0
141,45.0
142,41.0
143,38.0
144,49.0
145,92.0
146,90.0
147,88.0
148,97.0
149,96.0
150,84.0
151,49.0
152,55.0
153,44.0
154,35.0
155,133.0
156,110.0
157,62.0
158,64.0
159,44.0
160,21.0
161,35.0
162,27.0
163,34.0
164,30.0
165,30.0
166,33.0
167,26.0
168,27.0
169,27.0
170,32.0
171,19.0
172,45.0
173,28.0
174,24.0
175,36.0
176,25.0
177,24.0
178,27.0
179,37.0
180,38.0
181,49.0
182,35.0
183,31.0
184,30.0
185,38.0
186,43.0
187,42.0
188,36.0
189,84.0
190,84.0
191,57.0
192,77.0
193,97.0
194,109.0
195,112.0
196,90.0
197,90.0
198,92.0
199,97.0
200,58.0
201,19.0
202,24.0
203,19.0
204,19.0
205,28.0
206,23.0
207,20.0
208,24.0
209,38.0
210,34.0
211,51.0
212,28.0
213,23.0
214,22.0
215,17.0
216,17.0
217,14.0
218,
219,
220,
221,
222,17.0
223,20.0
224,9.0
225,9.0
226,12.0
227,14.0
228,18.0
229,14.0
230,13.0
231,11.0
232,13.0
233,11.0
234,9.0
235,27.0
236,13.0
237,8.0
238,8.0
239,9.0
240,11.0
241,40.0
242,29.0
243,12.0
244,15.0
245,14.0
246,12.0
247,16.0
248,12.0
249,19.0
250,29.0
251,36.0
252,36.0
253,47.0
254,61.0
255,74.0
256,43.0
257,55.0
258,30.0
259,40.0
