Index,Veldan-SO2
0,
1,
2,
3,1.79
4,
5,
6,
7,
8,
9,
10,
11,3.17
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,1.56
36,
37,
38,
39,
40,
41,
42,1.58
43,1.57
44,1.53
45,1.53
46,1.52
47,1.55
48,1.56
49,1.51
50,1.53
51,1.51
52,1.54
53,1.5
54,1.53
55,1.53
56,1.59
57,1.64
58,1.67
59,1.73
60,1.73
61,1.8
62,1.99
63,2.1
64,2.11
65,2.09
66,2.28
67,2.39
68,2.27
69,2.22
70,2.54
71,2.33
72,1.97
73,1.82
74,1.75
75,1.9
76,2.26
77,1.91
78,1.95
79,2.0
80,2.14
81,2.22
82,2.58
83,4.47
84,5.58
85,4.62
86,5.52
87,3.39
88,2.73
89,2.58
90,2.79
91,2.87
92,2.9
93,2.95
94,2.89
95,2.97
96,2.59
97,2.31
98,2.05
99,1.88
100,1.8
101,1.78
102,1.86
103,2.45
104,2.58
105,2.52
106,2.51
107,2.62
108,2.87
109,2.6
110,2.44
111,2.26
112,2.17
113,2.28
114,2.16
115,2.22
116,2.38
117,2.58
118,2.7
119,2.95
120,2.52
121,2.21
122,1.98
123,1.94
124,1.78
125,1.72
126,1.88
127,2.12
128,2.19
129,2.63
130,2.53
131,2.67
132,2.86
133,3.06
134,2.7
135,2.4
136,2.44
137,2.6
138,2.73
139,2.59
140,2.61
141,2.91
142,3.04
143,2.66
144,2.35
145,2.43
146,2.51
147,2.36
148,2.25
149,2.19
150,2.45
151,2.84
152,2.71
153,2.81
154,3.71
155,3.33
156,3.47
157,4.19
158,3.81
159,3.23
160,2.56
161,2.54
162,2.5
163,2.61
164,2.32
165,2.09
166,2.04
167,1.96
168,1.85
169,1.74
170,1.72
171,1.63
172,1.94
173,1.78
174,1.72
175,1.79
176,1.8
177,1.96
178,2.39
179,2.37
180,2.3
181,2.23
182,2.18
183,2.08
184,1.99
185,1.93
186,2.06
187,1.99
188,2.05
189,2.55
190,2.27
191,2.19
192,2.26
193,2.28
194,2.2
195,2.28
196,2.19
197,2.23
198,2.53
199,2.49
200,2.44
201,2.13
202,2.08
203,2.06
204,2.03
205,2.04
206,2.04
207,2.0
208,1.96
209,2.02
210,2.06
211,2.21
212,1.98
213,1.9
214,1.83
215,1.8
216,1.76
217,
218,
219,
220,1.67
221,1.63
222,1.63
223,1.59
224,1.59
225,1.63
226,1.58
227,1.57
228,1.62
229,1.68
230,1.73
231,1.76
232,1.74
233,1.75
234,1.78
235,2.06
236,1.83
237,1.73
238,1.65
239,1.62
240,1.6
241,1.89
242,1.75
243,1.65
244,1.61
245,1.63
246,1.68
247,1.88
248,2.01
249,2.95
250,3.54
251,3.8
252,3.25
253,2.85
254,2.91
255,2.76
256,2.38
257,2.38
258,2.19
