,25th Aban (CO),Enghelab (CO),Farshadi (CO),Feiz (CO),Kave (CO),Kerd abad (CO),Mirza Taher (CO),Rehnan (CO),Sanati University (CO),Veldan (CO),25th Aban (O3),Farshadi (O3),25th Aban (NO),Farshadi (NO),Feiz (NO),Kerd abad (NO),Sanati University (NO),Veldan (NO),25th Aban (NO2),Farshadi (NO2),Feiz (NO2),Kerd abad (NO2),Sanati University (NO2),Veldan (NO2),25th Aban (SO2),Enghelab (SO2),Farshadi (SO2),Feiz (SO2),Kave (SO2),Kerd abad (SO2),Mirza Taher (SO2),Rehnan (SO2),Sanati University (SO2),Veldan (SO2),Zamzam Park (PM10),Zeynabiye (PM10),25th Aban (PM2.5),Enghelab (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Mirza Taher (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5),Zeynabiye (PM2.5)
25th Aban (CO),0,0.406574212,0.538758788,0.582573735,0.179308221,0.364519081,0.299589741,0.482669789,0.230232971,0.510074679,-0.433520729,-0.388632723,0.606164196,0.324506888,0.266797136,0.301308107,0.04286704,0.266563772,0.335351435,0.401967145,0.336703992,0.29007323,0.124503093,0.296408375,0.216825552,0.064196723,0.136544514,0.00043265,0.020248563,-0.093711932,-0.158190519,0.014656258,0.084537802,-0.0306753,0.314408036,0.373748791,0.382204366,0.256765332,0.299975782,0.264607743,0.27815167,0.285800925,0.19477286,0.259288364,0.148795389,0.140549426,0.306419743,0.141716773,0.214553207
Enghelab (CO),0.406574212,0,0.436335,0.427172132,0.369386908,0.306479387,0.430329074,0.513501986,0.101903431,0.415420073,-0.289928768,-0.430155551,0.342748689,0.271541745,0.326271378,0.197909468,-0.014077841,0.255264728,0.226218698,0.261010089,0.275674476,0.171529717,0.153833742,0.244488818,0.181625346,0.32854192,0.198057899,0.156913372,0.266533468,0.334617187,0.038590384,0.261789355,0.170297743,-0.031875824,0.163501693,0.162995007,0.134129266,0.053841209,0.143932761,0.123155983,0.087494163,0.08695967,0.041149451,0.038358169,0.062302457,0.04376363,0.174672809,0.164999406,0.137901605
Farshadi (CO),0.538758788,0.436335,0,0.819545986,0.207023215,0.693376172,0.414831673,0.386579448,0.519040277,0.80792838,-0.576003639,-0.783604185,0.479404764,0.63590781,0.647603941,0.599505917,0.334269969,0.572513366,0.34594453,0.586618792,0.558016236,0.498957413,0.406711395,0.588205475,0.275516318,0.129384352,0.159123374,0.069662771,0.217387106,0.032999912,-0.00231929,0.16363932,0.309784928,0.203346313,0.30885636,0.345382854,0.440850655,0.349293283,0.433926807,0.413395862,0.376667144,0.433095245,0.294036976,0.354938147,0.332773954,0.328072324,0.45385846,0.451676374,0.470228968
Feiz (CO),0.582573735,0.427172132,0.819545986,0,0.11651242,0.659730334,0.482556417,0.468584253,0,0.798794514,-0.558467031,0,0.504371349,0.566718483,0.716831339,0.617382913,0.206862474,0.547744501,0.386770654,0.595198423,0.620532743,0.534754613,0.271348959,0.573761552,0.207014224,0.0516146,0.156281694,0.062886759,0.079795621,0.080175162,-0.076052967,0.178953444,0,0.223910757,0.298678228,0.34038082,0.464965272,0.408001468,0.454668116,0.499115022,0.427285418,0.497892961,0.288855821,0.378285355,0.154441801,0.263502456,0.436391057,0.335507579,0.391388218
Kave (CO),0.179308221,0.369386908,0.207023215,0.11651242,0,0.10103159,0.240302276,0.293264553,0.238806691,0.194592843,-0.129470626,-0.188297511,0.031444163,-0.011747481,0.108822441,-0.045856106,0.145403591,-0.012505765,-0.060951927,-0.038592463,0.016652327,-0.096069806,0.219675559,-0.022739165,0.150407739,0.201009681,0.236222112,0.296372398,0.368327441,-0.163016708,0.192334934,0.000558797,0.217377906,-0.114037301,-0.039158307,0.038919264,0.028523073,-0.099084171,0.012302801,0.014923433,0.023420395,0.006855731,-0.0548801,-0.109337549,0.062483199,0.047466693,0.076480841,0.084666204,0.079542955
Kerd abad (CO),0.364519081,0.306479387,0.693376172,0.659730334,0.10103159,0,0.378755227,0.318480788,0.439383334,0.624517346,-0.611457996,-0.673318904,0.443284751,0.621679944,0.625905711,0.75750478,0.278262624,0.565097267,0.310220958,0.38293859,0.45035361,0.456745692,0.343338973,0.422840163,0.321623674,0.121542661,0.259304013,0.246867171,0.239938038,0.400793343,0.187413259,0.195593192,0.355357229,0.143183046,0.366388389,0.351799898,0.366122896,0.288663252,0.404436961,0.429471482,0.30346688,0.512311029,0.289569762,0.316404579,0.286791925,0.327578263,0.421810746,0.462722164,0.466137596
Mirza Taher (CO),0.299589741,0.430329074,0.414831673,0.482556417,0.240302276,0.378755227,0,0.61208775,0.176604283,0.449486451,-0.411002287,-0.494844574,0.39448345,0.33762125,0.393383489,0.39012802,0.195912693,0.327948862,0.201300788,0.28696847,0.282281997,0.227076419,0.218524514,0.263778352,0.226793799,0.167045945,0.23310968,0.28276265,0.08524898,0.138441274,0.07792333,0.214827857,0.397774802,0.091314435,0.109086873,0.043765229,0.205875861,0.122838861,0.213022762,0.221466183,0.132284192,0.242766331,0.116390625,0.116471439,0.121195041,0.149116951,0.270117564,0.29142867,0.210629026
Rehnan (CO),0.482669789,0.513501986,0.386579448,0.468584253,0.293264553,0.318480788,0.61208775,0,0.114392257,0.47499474,-0.326873138,-0.271059558,0.413631328,0.275929822,0.279076947,0.24849737,0.012982526,0.303612635,0.17776773,0.300753351,0.251438192,0.228259293,0.157969771,0.272503287,0.157429976,0.168610964,0.167503518,0.138620223,0.114088212,0.001620241,-0.047673222,0.255843007,0.192807197,0.075063033,0.154772192,0.144544177,0.142927403,0.061583251,0.120559586,0.115515449,0.100895413,0.125378193,0.044583709,0.097543246,0.040460582,0.033959,0.179677692,0.13181276,0.094676289
Sanati University (CO),0.230232971,0.101903431,0.519040277,0,0.238806691,0.439383334,0.176604283,0.114392257,0,0.612983183,-0.30109468,-0.355971812,0.333865265,0.52141722,0.559675104,0.47896785,0.711171862,0.483455892,0.366424644,0.490993625,0.471359735,0.415426707,0.706345335,0.585555504,0.401691256,0.173453515,0.351694041,0,0.342516392,0,0.087778773,0.083654141,0.370107056,0.240940389,0.339902735,0.394406459,0.434260244,0.423315673,0.460520884,0.467518966,0.48373675,0.506379939,0.396742592,0.476075574,0.636778993,0.47985714,0.481006797,0.470478054,0.486043922
Veldan (CO),0.510074679,0.415420073,0.80792838,0.798794514,0.194592843,0.624517346,0.449486451,0.47499474,0.612983183,0,-0.555042932,-0.72537452,0.502396678,0.612629056,0.654755627,0.579831526,0.38033993,0.666936166,0.394923767,0.592757123,0.563078491,0.504449014,0.47567781,0.666865634,0.227260361,0.152732157,0.174380406,0.079221709,0.190716492,0.067584514,-0.043785449,0.2261889,0.411504837,0.293275981,0.339818284,0.349034543,0.42065836,0.353162399,0.415112713,0.404664058,0.420166777,0.431586036,0.289402414,0.403829725,0.382601429,0.359325827,0.476450783,0.501153668,0.477911332
