Pollutant,Change Point Date,Value at Change Point
25th Aban (CO),2021-05-04 18:00:00,0.932
25th Aban (CO),2022-05-27 04:00:00,0.8459999999999999
Enghelab (CO),2020-05-07 12:00:00,2.09
Enghelab (CO),2020-05-29 21:00:00,6.859999999999999
Enghelab (CO),2020-05-30 03:00:00,3.8260000000000005
Kave (CO),2019-05-31 22:00:00,3.19
Kave (CO),2021-05-29 04:00:00,2.034
Kave (CO),2024-05-01 01:00:00,1.04
Mirza Taher (CO),2019-05-01 00:00:00,2.178
Rehnan (CO),2019-05-01 00:00:00,1.7759999999999998
Rehnan (CO),2021-05-22 20:00:00,8.446666666666667
Rehnan (CO),2021-05-23 02:00:00,4.398000000000001
Rehnan (CO),2021-05-24 14:00:00,5.61
Rehnan (CO),2021-05-25 03:00:00,3.9120000000000004
25th Aban (O3),2019-05-01 11:00:00,25.714
25th Aban (O3),2019-05-01 14:00:00,54.512
25th Aban (O3),2019-05-01 20:00:00,54.910000000000004
25th Aban (O3),2019-05-01 23:00:00,17.722
25th Aban (O3),2019-05-02 10:00:00,22.433999999999997
25th Aban (O3),2019-05-02 13:00:00,46.86
25th Aban (O3),2019-05-02 20:00:00,37.444
25th Aban (O3),2019-05-02 23:00:00,12.440000000000001
25th Aban (O3),2019-05-03 04:00:00,19.208000000000002
25th Aban (O3),2019-05-03 11:00:00,34.788
25th Aban (O3),2019-05-03 14:00:00,56.78599999999999
25th Aban (O3),2019-05-03 19:00:00,50.42
25th Aban (O3),2019-05-03 22:00:00,33.796
25th Aban (O3),2019-05-04 02:00:00,18.046
25th Aban (O3),2019-05-04 12:00:00,24.506
25th Aban (O3),2019-05-04 22:00:00,20.018
25th Aban (O3),2019-05-05 12:00:00,35.501999999999995
25th Aban (O3),2019-05-05 20:00:00,33.876
25th Aban (O3),2019-05-05 23:00:00,23.267999999999997
25th Aban (O3),2019-05-06 02:00:00,15.684000000000001
25th Aban (O3),2019-05-06 11:00:00,23.338
25th Aban (O3),2019-05-06 14:00:00,50.818
25th Aban (O3),2019-05-06 20:00:00,41.968
25th Aban (O3),2019-05-06 23:00:00,19.092000000000002
25th Aban (O3),2019-05-07 02:00:00,8.536
25th Aban (O3),2019-05-07 10:00:00,5.383333333333333
25th Aban (O3),2019-05-07 13:00:00,71.9
25th Aban (O3),2019-05-07 19:00:00,56.782
25th Aban (O3),2019-05-07 22:00:00,19.832
25th Aban (O3),2019-05-08 03:00:00,20.136000000000003
25th Aban (O3),2019-05-08 07:00:00,14.518
25th Aban (O3),2019-05-08 10:00:00,20.09
25th Aban (O3),2019-05-08 13:00:00,49.63
25th Aban (O3),2019-05-08 19:00:00,41.676
25th Aban (O3),2019-05-08 22:00:00,19.712000000000003
25th Aban (O3),2019-05-09 03:00:00,26.688000000000006
25th Aban (O3),2019-05-09 07:00:00,21.226000000000003
25th Aban (O3),2019-05-09 12:00:00,32.996
25th Aban (O3),2019-05-09 21:00:00,25.670000000000005
25th Aban (O3),2019-05-10 10:00:00,30.794000000000004
25th Aban (O3),2019-05-10 20:00:00,27.889999999999997
25th Aban (O3),2019-05-10 23:00:00,9.544000000000002
25th Aban (O3),2019-05-11 10:00:00,19.732000000000003
25th Aban (O3),2019-05-11 13:00:00,43.577999999999996
25th Aban (O3),2019-05-11 20:00:00,33.512
