,25th Aban (CO),Enghelab (CO),Farshadi (CO),Feiz (CO),Kave (CO),Kerd abad (CO),Mirza Taher (CO),Rehnan (CO),Sanati University (CO),Veldan (CO),25th Aban (O3),Farshadi (O3),25th Aban (NO),Farshadi (NO),Feiz (NO),Kerd abad (NO),Sanati University (NO),Veldan (NO),25th Aban (NO2),Farshadi (NO2),Feiz (NO2),Kerd abad (NO2),Sanati University (NO2),Veldan (NO2),25th Aban (SO2),Enghelab (SO2),Farshadi (SO2),Feiz (SO2),Kave (SO2),Kerd abad (SO2),Mirza Taher (SO2),Rehnan (SO2),Sanati University (SO2),Veldan (SO2),Zamzam Park (PM10),Zeynabiye (PM10),25th Aban (PM2.5),Enghelab (PM2.5),Farshadi (PM2.5),Feiz (PM2.5),Kave (PM2.5),Kerd abad (PM2.5),Mirza Taher (PM2.5),Rehnan (PM2.5),Sanati University (PM2.5),SepahanShahr (PM2.5),Veldan (PM2.5),Zamzam Park (PM2.5),Zeynabiye (PM2.5)
25th Aban (CO),0,0.129451194,0.252259258,0.257883424,0.046926667,0.120411235,0.161566917,0.188112597,0.088393467,0.223173063,0.154459036,0.150540483,0.446390548,0.232115033,0.167028664,0.118512005,0.068583108,0.190924246,0.200657419,0.183242555,0.127535176,0.102654085,0.037018127,0.146526553,0.061066984,0.029983108,0.041536096,0.109718352,0.02118356,0.167773,0.042212017,0.032657615,0.017402598,0.056302758,0.07481302,0.109158165,0.099195553,0.045863371,0.060631441,0.055037374,0.055984603,0.04907771,0.022022136,0.050392144,0.019431316,0.016856972,0.068114031,0.027352551,0.040269314
Enghelab (CO),0.130396791,0,0.150140017,0.135739626,0.107155684,0.08069345,0.210167589,0.271286543,0.069932708,0.142685446,0.063058415,0.124829132,0.100438691,0.096538372,0.111541006,0.053346676,0.059321849,0.09592662,0.064552645,0.067119544,0.066177916,0.030790745,0.034134343,0.068545682,0.032179382,0.097736249,0.056186005,0.058976648,0.052591487,0.106981589,0.036758515,0.05111342,0.051542504,0.016642991,0.034824625,0.049055787,0.021869229,0.003852339,0.019028374,0.025356478,0.014738772,0.014707781,0.011602518,0.009901589,0.033014371,0.017662576,0.028057831,0.041624157,0.032470842
Farshadi (CO),0.248861849,0.15283147,0,0.579545387,0.040745416,0.399619261,0.190592592,0.133571889,0.198324492,0.564513528,0.241551474,0.483000902,0.231431941,0.503447031,0.338304474,0.265300101,0.106233811,0.283722749,0.119277768,0.337772004,0.244103224,0.168542039,0.113896283,0.27052408,0.064170572,0.03354346,0.055577483,0.06128283,0.047957702,0.103050526,0.025881911,0.030237785,0.069489798,0.03433643,0.09638789,0.13474399,0.132969002,0.076324553,0.131939609,0.112571744,0.087751176,0.110364791,0.070343875,0.078715141,0.08568624,0.091259594,0.135443426,0.145784424,0.175023199
Feiz (CO),0.261770374,0.13550908,0.588498535,0,0.036003838,0.357904761,0.236415444,0.170707324,0,0.538999373,0.203379788,0,0.230755834,0.346337413,0.590216528,0.313049532,0.101565483,0.324236508,0.131716025,0.343619204,0.375289749,0.230403404,0.135782731,0.33677509,0.047283539,0.009680138,0.041661987,0.066966112,0.02335781,0.089336873,0.035517269,0.02192069,0,0.068603915,0.056484397,0.093246825,0.127449922,0.10856175,0.137735478,0.165688803,0.116958587,0.153877922,0.063903158,0.091322485,0.023534427,0.03813258,0.12448885,0.068628791,0.096817484
Kave (CO),0.0465661,0.10492345,0.03879424,0.035739751,0,0.025478108,0.067159111,0.08954026,0.084025987,0.061540881,0.018675685,0.069370651,0.044029768,0.046824681,0.05786935,0.033705833,0.094664719,0.055043072,0.04949,0.049074895,0.047784256,0.039352629,0.076726676,0.05208705,0.040729377,0.051966722,0.058382271,0.120943013,0.106294527,0.103174146,0.048448151,0.020203257,0.086865787,0.041704208,0.029765784,0.048385225,0.012640253,0.011838712,0.011968114,0.010370237,0.005745304,0.003875914,0.008461765,0.00951326,0.038978514,0.04140508,0.018020769,0.020471356,0.03029807
Kerd abad (CO),0.11937798,0.078910754,0.398485474,0.35654795,0.024532623,0,0.152564198,0.106578517,0.155288874,0.312829362,0.252965411,0.320517339,0.177186458,0.305661437,0.30734712,0.510254486,0.112356042,0.249057882,0.088747201,0.131974863,0.153368383,0.238991549,0.076392667,0.129811158,0.081728412,0.022934911,0.061028337,0.090434367,0.042780402,0.166524065,0.049769292,0.033375512,0.082592514,0.042940492,0.107468463,0.115507119,0.088176403,0.063613723,0.095092675,0.112689146,0.072093332,0.163286084,0.063305403,0.070975995,0.064682428,0.069157084,0.112273829,0.144142118,0.140883431
Mirza Taher (CO),0.159757594,0.209769136,0.189326031,0.240924903,0.063949249,0.154564773,0,0.322280336,0.116418392,0.238750244,0.12226913,0.281413014,0.150665923,0.174850265,0.187969365,0.14811654,0.141964786,0.202638348,0.070849847,0.118110778,0.078350506,0.070021262,0.07441504,0.11696205,0.062251575,0.030841761,0.086885605,0.130092145,0.039029825,0.170199202,0.070807059,0.057469208,0.15212112,0.045030158,0.077870512,0.057994526,0.067957879,0.02903864,0.055800298,0.064566903,0.033575543,0.073710237,0.024736294,0.040040239,0.04417215,0.064318545,0.100818057,0.099763741,0.082320275
Rehnan (CO),0.187255757,0.270410803,0.134061733,0.170025102,0.086606933,0.110772849,0.318450494,0,0.101278728,0.195421121,0.070253286,0.113521469,0.129037548,0.09986813,0.093073334,0.065173883,0.093307788,0.122955815,0.043146169,0.090370123,0.061531336,0.05025157,0.030484555,0.095373765,0.040222317,0.034734555,0.061027204,0.087956391,0.02399031,0.106553742,0.048327298,0.064732085,0.06956818,0.038192162,0.06121193,0.060611855,0.025131318,0.011687852,0.008764676,0.017228744,0.015067361,0.018964395,0.014129378,0.019035265,0.028717369,0.041801727,0.036923741,0.033541258,0.038151345
Sanati University (CO),0.08341834,0.065967434,0.188750837,0,0.089749014,0.162014792,0.113946516,0.096782735,0,0.266866117,0.119186641,0.13590387,0.116076239,0.219237673,0.218785252,0.170340201,0.583261933,0.165800875,0.109443742,0.194308209,0.170586757,0.133584866,0.450021469,0.232456593,0.103606101,0.038175846,0.086380627,0,0.083982897,0,0.044877989,0.022298639,0.169412683,0.122633167,0.086579875,0.124319265,0.134074116,0.116471886,0.150273694,0.141259005,0.146237531,0.176553024,0.115683879,0.155579377,0.294607127,0.176034309,0.162599962,0.163488702,0.14561629
Veldan (CO),0.224797809,0.134857922,0.566432817,0.53623395,0.059538268,0.311381238,0.238237838,0.195277378,0.272976351,0,0.216623691,0.364643117,0.222732415,0.312372398,0.347191199,0.24110515,0.147829512,0.485268087,0.126595576,0.29393082,0.237281883,0.179653836,0.132857558,0.438489428,0.062533788,0.031070345,0.068775527,0.09857542,0.049424793,0.073847076,0.05303376,0.053243336,0.112897781,0.064914214,0.1129804,0.120534399,0.12861902,0.076801732,0.116008224,0.113591064,0.123099757,0.116231219,0.064775595,0.108588363,0.102594867,0.105853895,0.189231881,0.179896295,0.152995156
